Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
aspecto relacionado con el financiación,Parcialmente encontrado,No,No,Sí,No,No,"años, y podrá desarrollarse al amparo de un solo contrato de forma no continuada, a lo largo de diversos periodos aspecto relacionado con el financiación contrato formativo tendrá por objeto la formación en alternancia con el trabajo retribuido por cuenta ajena en los términos establecidos en el apartado 2, o el desempeño de una actividad laboral destinada a adquirir una práctica profesional adecuada a los correspondientes niveles de estudios, en los términos establecidos en el apartado 3"
duración inferior a el máximo,Encontrado en glosario,Sí,No,No,Sí,No,duración máxima de dos años. h) Solo podrá celebrarse un contrato de formación en alternancia por cada ciclo formativo de duración inferior a el máximo ivo
ciclo formativo de  formación,Parcialmente encontrado,No,No,Sí,No,No,"Catálogo citado, siempre que dichos contratos respondan a distintas actividades vinculadas al ciclo, al plan o al programa formativo y ciclo formativo de  formación ivo"
actividad vinculado al  ciclo,Encontrado en glosario,Sí,No,No,Sí,No,"65 por ciento, durante el primer año, o al 85 por ciento, durante el segundo, de la jornada máxima prevista actividad vinculado al  ciclo ivo"
duración máximo de todo el,Encontrado en glosario,Sí,No,No,Sí,No,"de la jornada máxima prevista en el convenio colectivo de aplicación en la empresa, o, en su defecto, de la duración máximo de todo el mativo"
límite previsto en el apartado,No encontrado,No,No,No,No,No,"de aplicación en la empresa, o, en su defecto, de la jornada máxima legal. j) No se podrán celebrar contratos límite previsto en el apartado anterior"
tiempo dedicado a el actividad,Encontrado en glosario,Sí,No,Sí,Sí,No,cuando la actividad o puesto de trabajo correspondiente al contrato haya sido desempeñado con anterioridad por la persona trabajadora en tiempo dedicado a el actividad vo
actividad formativa en el centro,Encontrado en glosario,Sí,No,Sí,Sí,No,puesto de trabajo correspondiente al contrato haya sido desempeñado con anterioridad por la persona trabajadora en la misma empresa bajo actividad formativa en el centro
convenio colectivo de  aplicación,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,"podrán realizar horas complementarias ni horas extraordinarias, salvo en el supuesto previsto en el artículo 35.3. Tampoco podrán realizar trabajos convenio colectivo de  aplicación 1"
contrato formativo en  alternancia,Encontrado en glosario,Sí,No,No,Sí,No,realizarse actividades laborales en los citados periodos cuando las actividades formativas para la adquisición de los aprendizajes previstos en el contrato formativo en  alternancia 1
trabajo correspondiente al  contrato,Encontrado en glosario,Sí,No,Sí,Sí,No,"formativas para la adquisición de los aprendizajes previstos en el plan formativo no puedan desarrollarse en otros periodos, debido a trabajo correspondiente al  contrato El contrato formativo tendrá por objeto la formación en alternancia con el trabajo retribuido por cuenta ajena en los términos establecidos en el apartado 2, o el desempeño de una actividad laboral destinada a adquirir una práctica profesional adecuada a los correspondientes niveles de estudios, en los términos establecidos en el apartado 3"
persona trabajador en el mismo,Encontrado en glosario,Sí,Sí,No,Sí,No,"formativo no puedan desarrollarse en otros periodos, debido a la naturaleza de la actividad. l) No podrá establecerse periodo de persona trabajador en el mismo vo"
persona contratado con  contrato,Encontrado en glosario,Sí,Sí,Sí,Sí,No,prueba en estos contratos. m) La retribución será la establecida para estos contratos en el convenio colectivo de aplicación. En persona contratado con  contrato
actividad laboral en el citado,Encontrado en glosario,Sí,No,No,Sí,Sí,"cinco por ciento el segundo, respecto de la fijada en convenio para el grupo profesional y nivel retributivo correspondiente a actividad laboral en el citado vo"
actividad formativa para el adquisición,Encontrado en glosario,Sí,No,Sí,Sí,No,"fijada en convenio para el grupo profesional y nivel retributivo correspondiente a las funciones desempeñadas, en proporción al tiempo de actividad formativa para el adquisición contrato formativo tendrá por objeto la formación en alternancia con el trabajo retribuido por cuenta ajena en los términos establecidos en el apartado 2, o el desempeño de una actividad laboral destinada a adquirir una práctica profesional adecuada a los correspondientes niveles de estudios, en los términos establecidos en el apartado 3"
aprendizaje previsto en el plan,Encontrado en glosario,Sí,No,Sí,Sí,No,"y nivel retributivo correspondiente a las funciones desempeñadas, en proporción al tiempo de trabajo efectivo. En ningún caso la retribución aprendizaje previsto en el plan o"
convenio colectivo de  aplicación,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,nivel de estudios se regirá por las siguientes reglas: a) Podrá concertarse con quienes estuviesen en posesión de un título convenio colectivo de  aplicación 1
contrato formativo para el obtención,Encontrado en glosario,Sí,No,Sí,Sí,No,"la actividad laboral. b) El contrato de trabajo para la obtención de práctica profesional deberá concertarse dentro de los tres contrato formativo para el obtención El contrato formativo tendrá por objeto la formación en alternancia con el trabajo retribuido por cuenta ajena en los términos establecidos en el apartado 2, o el desempeño de una actividad laboral destinada a adquirir una práctica profesional adecuada a los correspondientes niveles de estudios, en los términos establecidos en el apartado 3"
título equivalente de  enseñanza,Encontrado en glosario,Sí,No,No,Sí,No,currículo exigido para la obtención de la titulación o certificado que habilita esta contratación. c) La duración de este contrato título equivalente de  enseñanza
actividad formativo en el mismo,Encontrado en glosario,Sí,No,No,Sí,No,en la misma o distinta empresa por tiempo superior a los máximos previstos en el apartado anterior en virtud de actividad formativo en el mismo o
currículo exigido para el obtención,Encontrado en glosario,Sí,No,Sí,Sí,No,"misma empresa para el mismo puesto de trabajo por tiempo superior a los máximos previstos en el apartado anterior, aunque currículo exigido para el obtención"
convenio colectivo de  ámbito,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,"correspondientes a los estudios universitarios no se considerarán la misma titulación, salvo que al ser contratado por primera vez mediante convenio colectivo de  ámbito ivo"
tiempo superior a el máximo,Encontrado en glosario,Sí,Sí,No,Sí,No,"exceder de un mes, salvo lo dispuesto en convenio colectivo. f) El puesto de trabajo deberá permitir la obtención de tiempo superior a el máximo ativo"
apartado anterior en  virtud,No encontrado,No,No,No,No,No,convenio colectivo. f) El puesto de trabajo deberá permitir la obtención de la práctica profesional adecuada al nivel de estudios apartado anterior en  virtud tivo
tiempo superior a el máximo,Encontrado en glosario,Sí,Sí,No,Sí,No,"plan formativo individual en el que se especifique el contenido de la práctica profesional, y asignará tutor o tutora que tiempo superior a el máximo ativo"
experiencia adecuado para el seguimiento,No encontrado,No,No,No,No,No,"alcance de la formación correspondiente al contrato de formación para la obtención de prácticas profesionales, particularmente, en el caso de experiencia adecuado para el seguimiento contrato formativo tendrá por objeto la formación en alternancia con el trabajo retribuido por cuenta ajena en los términos establecidos en el apartado 2, o el desempeño de una actividad laboral destinada a adquirir una práctica profesional adecuada a los correspondientes niveles de estudios, en los términos establecidos en el apartado 3"
persona contratado con  contrato,Encontrado en glosario,Sí,Sí,Sí,Sí,No,o universitaria. 4. Son normas comunes del contrato formativo las siguientes: a) La acción protectora de la Seguridad Social de persona contratado con  contrato
formación correspondiente al  contrato,Encontrado en glosario,Sí,No,Sí,Sí,No,"g), h) y k) y 3.e) y f), en el que se especifiquen el contenido de las prácticas o la formación correspondiente al  contrato l contrato formativo tendrá por objeto la formación en alternancia con el trabajo retribuido por cuenta ajena en los términos establecidos en el apartado 2, o el desempeño de una actividad laboral destinada a adquirir una práctica profesional adecuada a los correspondientes niveles de estudios, en los términos establecidos en el apartado 3"
norma común del  contrato,Encontrado en glosario,Sí,No,Sí,Sí,Sí,límites de edad y en la duración máxima del contrato formativo no serán de aplicación cuando se concierte con personas norma común del  contrato rmativo
duración máximo del  contrato,Encontrado en glosario,Sí,No,Sí,Sí,No,"podrá concertarse un nuevo periodo de prueba, computándose la duración del contrato formativo a efectos de antigüedad en la empresa. duración máximo del  contrato ivo"
convenio colectivo de  ámbito,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,la estabilidad de la plantilla. 5. La empresa pondrá en conocimiento de la representación legal de las personas trabajadoras los convenio colectivo de  ámbito ivo
persona contratado bajo este modalidad,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"términos referidos en el apartado 2.h), la empresa deberá trasladar a la representación legal de las personas trabajadoras toda la persona contratado bajo este modalidad l contrato formativo tendrá por objeto la formación en alternancia con el trabajo retribuido por cuenta ajena en los términos establecidos en el apartado 2, o el desempeño de una actividad laboral destinada a adquirir una práctica profesional adecuada a los correspondientes niveles de estudios, en los términos establecidos en el apartado 3"
persona afectado por el medida,Encontrado en glosario,Sí,No,Sí,Sí,No,de las personas trabajadoras toda la información de la que disponga al respecto de dichas contrataciones. 6. En la negociación persona afectado por el medida vo
contrato formativo a  efecto,Encontrado en glosario,Sí,No,Sí,Sí,No,"mediante contratos formativos. Asimismo, podrán establecerse compromisos de conversión de los contratos formativos en contratos por tiempo indefinido. 7. Las contrato formativo a  efecto tivo"
contrato indefinido de  carácter,Encontrado en glosario,Sí,No,Sí,Sí,No,relativa a si las personas a las que pretenden contratar han estado previamente contratadas bajo dicha modalidad y la duración contrato indefinido de  carácter
administración competent en el formación,Encontrado en glosario,Sí,No,Sí,Sí,No,"y la duración de estas contrataciones. Dicha información deberá ser trasladada a la representación legal de las personas trabajadoras y administración competent en el formación contrato formativo tendrá por objeto la formación en alternancia con el trabajo retribuido por cuenta ajena en los términos establecidos en el apartado 2, o el desempeño de una actividad laboral destinada a adquirir una práctica profesional adecuada a los correspondientes niveles de estudios, en los términos establecidos en el apartado 3"
representación legal de el persona,Encontrado en glosario,Sí,Sí,Sí,Sí,No,representación legal de el persona 1
información relativo a el plan,Encontrado en glosario,Sí,No,Sí,Sí,Sí,información relativo a el plan vo
contrato vinculado a uno único,Encontrado en glosario,Sí,No,No,Sí,No,contrato vinculado a uno único vo
término referido en el apartado,Encontrado en glosario,Sí,No,No,Sí,No,término referido en el apartado o
representación legal de el persona,Encontrado en glosario,Sí,Sí,Sí,Sí,No,representación legal de el persona 1
presencia equilibrado de  hombre,Parcialmente encontrado,No,No,Sí,No,No,presencia equilibrado de  hombre
mujer vinculado a el empresa,Encontrado en glosario,Sí,No,Sí,Sí,No,mujer vinculado a el empresa tivo
contrato formativo en  contrato,Encontrado en glosario,Sí,No,Sí,Sí,No,contrato formativo en  contrato o
servicio público de  empleo,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,servicio público de  empleo ativo
representación legal de el persona,Encontrado en glosario,Sí,Sí,Sí,Sí,No,representación legal de el persona 1
valor liberatorio a  efecto,Encontrado en glosario,Sí,No,Sí,Sí,No,valor liberatorio a  efecto ativo
duración máximo de este contrato,Encontrado en glosario,Sí,No,Sí,Sí,No,duración máximo de este contrato
