Término,Patrón N+ADJ,Ubicación,Contexto
derecho necesario,derecho necesario,Término,"DERECHO NECESARIO: preceptos de dos o más normas laborales, tanto estatales como pactadas, que deberán respetar en todo caso los mínimos de [derecho necesario] , se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
derecho necesario,derecho necesario,Término,"DERECHO NECESARIO: no podrán disponer válidamente, antes o después de su adquisición, de los derechos que tengan reconocidos por disposiciones legales de [derecho necesario] ."
condiciones de trabajo,jerarquía normativa,Contexto,"CONDICIONES DE TRABAJO: de jerarquía normativa. Las disposiciones reglamentarias desarrollarán los preceptos que establecen las normas de rango superior, pero no podrán establecer [condiciones de trabajo] distintas a las establecidas por las leyes a desarrollar."
colectivo,disposiciones legales,Contexto,COLECTIVO: tengan reconocidos por disposiciones legales de derecho necesario. Tampoco podrán disponer válidamente de los derechos reconocidos como indisponibles por convenio [colectivo] .
cómputo anual,cómputo anual,Término,"CÓMPUTO ANUAL: derecho necesario, se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en [cómputo anual] , respecto de los conceptos cuantificables."
contrato de trabajo,convenios colectivos,Contexto,"CONTRATO DE TRABAJO: legales y reglamentarias del Estado. Por los convenios colectivos. Por la voluntad de las partes, manifestada en el [contrato de trabajo] , siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos antes expresados."
aplicación,derecho necesario,Contexto,"APLICACIÓN: laborales, tanto estatales como pactadas, que deberán respetar en todo caso los mínimos de derecho necesario, se resolverán mediante la [aplicación] de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
remisión,disposiciones legales,Contexto,"REMISIÓN: solo se aplicarán en defecto de disposiciones legales, convencionales o contractuales, a no ser que cuenten con una recepción o [remisión] expresa."
usos y costumbres,disposiciones legales,Contexto,USOS Y COSTUMBRES: perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos antes expresados. Por los [usos y costumbres] locales y profesionales.
usos y costumbres,trabajador apreciado,Contexto,"USOS Y COSTUMBRES: más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables. Los [usos y costumbres] solo se aplicarán en defecto de disposiciones legales, convencionales o contractuales, a no ser que cuenten con una recepción o remisión expresa."
adquisición,remisión expresa,Contexto,"ADQUISICIÓN: que cuenten con una recepción o remisión expresa. Los trabajadores no podrán disponer válidamente, antes o después de su [adquisición] , de los derechos que tengan reconocidos por disposiciones legales de derecho necesario."
lícito,convenios colectivos,Contexto,"LÍCITO: Por los convenios colectivos. Por la voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto [lícito] y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos antes expresados."
