Término,Patrón N+ADJ,Estado,Noun en Glosario,Adj en Glosario,Contexto
derecho,N/A,No encontrado,No,No,"
DERECHO: su localidad un tratamiento de habilitación o rehabilitación médico-funcional o atención, tratamiento u orientación psicológica relacionado con su discapacidad, tendrán [derecho] preferente a ocupar otro puesto de trabajo, del mismo grupo profesional, que la empresa tuviera vacante en otro de sus centros de trabajo en una localidad en que sea más accesible dicho tratamiento, en los términos y condiciones establecidos en el apartado anterior para las trabajadoras víctimas de violencia de género o de violencia sexual y para las víctimas de terrorismo"
derecho,N/A,No encontrado,No,No,"
DERECHO: días laborables en el caso de desplazamientos de duración superior a tres meses; en este último supuesto, el trabajador tendrá [derecho] a un permiso de cuatro días laborables en su domicilio de origen por cada tres meses de desplazamiento, sin computar como tales los de viaje, cuyos gastos correrán a cargo del empresario"
productividad,N/A,No encontrado,No,No," Se consideraran tales las que estén relacionadas con la competitividad, [productividad] u organización técnica o del trabajo en la empresa, así como las contrataciones referidas a la actividad empresarial"
autoridad laboral,N/A,No encontrado,No,No,"
AUTORIDAD LABORAL: La apertura del periodo de consultas y las posiciones de las partes tras su conclusión deberán ser notificadas a la [autoridad laboral] para su conocimiento"
centro de trabajo,N/A,No encontrado,No,No,"
CENTRO DE TRABAJO: no hayan sido contratados específicamente para prestar sus servicios en empresas con centros de trabajo móviles o itinerantes a un [centro de trabajo] distinto de la misma empresa que exija cambios de residencia requerirá la existencia de razones económicas, técnicas, organizativas o de producción que lo justifiquen"
centro de trabajo,N/A,No encontrado,No,No,"
CENTRO DE TRABAJO: declarará el traslado justificado o injustificado y, en este último caso, reconocerá el derecho del trabajador a ser reincorporado al [centro de trabajo] de origen"
centro de trabajo,N/A,No encontrado,No,No,"
CENTRO DE TRABAJO: los representantes legales de los trabajadores de una duración no superior a quince días, cuando afecte a la totalidad del [centro de trabajo] , siempre que este ocupe a más de cinco trabajadores, o cuando, sin afectar a la totalidad del centro de trabajo, en un periodo de noventa días comprenda a un número de trabajadores de, al menos:
a) Diez trabajadores, en las empresas que ocupen menos de cien trabajadores"
centro de trabajo,N/A,No encontrado,No,No,"
CENTRO DE TRABAJO: centro de trabajo, siempre que este ocupe a más de cinco trabajadores, o cuando, sin afectar a la totalidad del [centro de trabajo] , en un periodo de noventa días comprenda a un número de trabajadores de, al menos:
a) Diez trabajadores, en las empresas que ocupen menos de cien trabajadores"
centro de trabajo,N/A,No encontrado,No,No," El traslado o el cambio de [centro de trabajo] tendrá una duración inicial de entre seis y doce meses, durante los cuales la empresa tendrá la obligación de reservar el puesto de trabajo que anteriormente ocupaban las personas trabajadoras"
servicio,N/A,No encontrado,No,No,"
SERVICIO: compensación por gastos, o la extinción de su contrato, percibiendo una indemnización de veinte días de salario por año de [servicio] , prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades"
servicio,N/A,No encontrado,No,No,"
SERVICIO: obligación de reserva, o la extinción de su contrato, percibiendo una indemnización de veinte días de salario por año de [servicio] , prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades"
indemnización,N/A,No encontrado,No,No,"
INDEMNIZACIÓN: tendrá derecho a optar entre el traslado, percibiendo una compensación por gastos, o la extinción de su contrato, percibiendo una [indemnización] de veinte días de salario por año de servicio, prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades"
indemnización,N/A,No encontrado,No,No,"
INDEMNIZACIÓN: continuidad en el nuevo, decayendo en este caso la obligación de reserva, o la extinción de su contrato, percibiendo una [indemnización] de veinte días de salario por año de servicio, prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades"
sentencia,N/A,No encontrado,No,No," La [sentencia] declarará el traslado justificado o injustificado y, en este último caso, reconocerá el derecho del trabajador a ser reincorporado al centro de trabajo de origen"
jurisdicción social,N/A,No encontrado,No,No,"
JURISDICCIÓN SOCIAL: no habiendo optado por la extinción de su contrato, se muestre disconforme con la decisión empresarial podrá impugnarla ante la [jurisdicción social] "
trabajo,trabajo móviles,Parcialmente encontrado,Sí,No," El traslado de trabajadores que no hayan sido contratados específicamente para prestar sus servicios en empresas con centros de [trabajo] móviles o itinerantes a un centro de trabajo distinto de la misma empresa que exija cambios de residencia requerirá la existencia de razones económicas, técnicas, organizativas o de producción que lo justifiquen"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: sido contratados específicamente para prestar sus servicios en empresas con centros de trabajo móviles o itinerantes a un centro de [trabajo] distinto de la misma empresa que exija cambios de residencia requerirá la existencia de razones económicas, técnicas, organizativas o de producción que lo justifiquen"
trabajo,N/A,No encontrado,No,No," Se consideraran tales las que estén relacionadas con la competitividad, productividad u organización técnica o del [trabajo] en la empresa, así como las contrataciones referidas a la actividad empresarial"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: traslado justificado o injustificado y, en este último caso, reconocerá el derecho del trabajador a ser reincorporado al centro de [trabajo] de origen"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: legales de los trabajadores de una duración no superior a quince días, cuando afecte a la totalidad del centro de [trabajo] , siempre que este ocupe a más de cinco trabajadores, o cuando, sin afectar a la totalidad del centro de trabajo, en un periodo de noventa días comprenda a un número de trabajadores de, al menos:
a) Diez trabajadores, en las empresas que ocupen menos de cien trabajadores"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: trabajo, siempre que este ocupe a más de cinco trabajadores, o cuando, sin afectar a la totalidad del centro de [trabajo] , en un periodo de noventa días comprenda a un número de trabajadores de, al menos:
a) Diez trabajadores, en las empresas que ocupen menos de cien trabajadores"
trabajo,N/A,No encontrado,No,No," La consulta se llevará a cabo en una única comisión negociadora, si bien, de existir varios centros de [trabajo] , quedará circunscrita a los centros afectados por el procedimiento"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: comisión representativa será de siete días desde la fecha de la referida comunicación, salvo que alguno de los centros de [trabajo] que vaya a estar afectado por el procedimiento no cuente con representantes legales de los trabajadores, en cuyo caso el plazo será de quince días"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: de los trabajadores siempre que, en ambos casos, representen a la mayoría de los trabajadores del centro o centros de [trabajo] afectados"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: otro, si fuera trabajador de la misma empresa, tendrá derecho al traslado a la misma localidad, si hubiera puesto de [trabajo] "
trabajo,N/A,No encontrado,No,No,"
TRABAJO: género, de víctimas de violencia sexual o de víctimas del terrorismo que se vean obligadas a abandonar el puesto de [trabajo] en la localidad donde venían  prestando sus servicios, para hacer efectiva su protección o su derecho a la asistencia social integral, tendrán derecho preferente a ocupar otro puesto de trabajo, del mismo grupo profesional o categoría equivalente, que la empresa tenga vacante en cualquier otro de sus centros de trabajo"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: hacer efectiva su protección o su derecho a la asistencia social integral, tendrán derecho preferente a ocupar otro puesto de [trabajo] , del mismo grupo profesional o categoría equivalente, que la empresa tenga vacante en cualquier otro de sus centros de trabajo"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: trabajo, del mismo grupo profesional o categoría equivalente, que la empresa tenga vacante en cualquier otro de sus centros de [trabajo] "
trabajo,N/A,No encontrado,No,No," El traslado o el cambio de centro de [trabajo] tendrá una duración inicial de entre seis y doce meses, durante los cuales la empresa tendrá la obligación de reservar el puesto de trabajo que anteriormente ocupaban las personas trabajadoras"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: inicial de entre seis y doce meses, durante los cuales la empresa tendrá la obligación de reservar el puesto de [trabajo] que anteriormente ocupaban las personas trabajadoras"
trabajo,trabajo anterior,Parcialmente encontrado,Sí,No," Terminado este periodo, las personas trabajadoras podrán optar entre el regreso a su puesto de [trabajo] anterior o la continuidad en el nuevo, decayendo en este caso la obligación de reserva, o la extinción de su contrato, percibiendo una indemnización de veinte días de salario por año de servicio, prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: rehabilitación médico-funcional o atención, tratamiento u orientación psicológica relacionado con su discapacidad, tendrán derecho preferente a ocupar otro puesto de [trabajo] , del mismo grupo profesional, que la empresa tuviera vacante en otro de sus centros de trabajo en una localidad en que sea más accesible dicho tratamiento, en los términos y condiciones establecidos en el apartado anterior para las trabajadoras víctimas de violencia de género o de violencia sexual y para las víctimas de terrorismo"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: ocupar otro puesto de trabajo, del mismo grupo profesional, que la empresa tuviera vacante en otro de sus centros de [trabajo] en una localidad en que sea más accesible dicho tratamiento, en los términos y condiciones establecidos en el apartado anterior para las trabajadoras víctimas de violencia de género o de violencia sexual y para las víctimas de terrorismo"
trabajo,N/A,No encontrado,No,No, Los representantes legales de los trabajadores tendrán prioridad de permanencia en los puestos de [trabajo] a que se refiere este artículo
jurisdicción,N/A,No encontrado,No,No,"
JURISDICCIÓN: no habiendo optado por la extinción de su contrato, se muestre disconforme con la decisión empresarial podrá impugnarla ante la [jurisdicción] social"
contrato,N/A,No encontrado,No,No,"
CONTRATO: traslado, el trabajador tendrá derecho a optar entre el traslado, percibiendo una compensación por gastos, o la extinción de su [contrato] , percibiendo una indemnización de veinte días de salario por año de servicio, prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades"
contrato,N/A,No encontrado,No,No,"
CONTRATO: ejecutividad del traslado en el plazo de incorporación citado, el trabajador que, no habiendo optado por la extinción de su [contrato] , se muestre disconforme con la decisión empresarial podrá impugnarla ante la jurisdicción social"
contrato,N/A,No encontrado,No,No,"
CONTRATO: anterior o la continuidad en el nuevo, decayendo en este caso la obligación de reserva, o la extinción de su [contrato] , percibiendo una indemnización de veinte días de salario por año de servicio, prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades"
procedimiento,N/A,No encontrado,No,No,"
PROCEDIMIENTO: una única comisión negociadora, si bien, de existir varios centros de trabajo, quedará circunscrita a los centros afectados por el [procedimiento] "
procedimiento,N/A,No encontrado,No,No, La intervención como interlocutores ante la dirección de la empresa en el [procedimiento] de consultas corresponderá a los sujetos indicados en el artículo 41
procedimiento,N/A,No encontrado,No,No, La comisión representativa de los trabajadores deberá quedar constituida con carácter previo a la comunicación empresarial de inicio del [procedimiento] de consultas
procedimiento,N/A,No encontrado,No,No,"
PROCEDIMIENTO: de la empresa deberá comunicar de manera fehaciente a los trabajadores o a sus representantes su intención de iniciar el [procedimiento] "
procedimiento,N/A,No encontrado,No,No,"
PROCEDIMIENTO: fecha de la referida comunicación, salvo que alguno de los centros de trabajo que vaya a estar afectado por el [procedimiento] no cuente con representantes legales de los trabajadores, en cuyo caso el plazo será de quince días"
procedimiento,N/A,No encontrado,No,No,"
PROCEDIMIENTO: acordar en cualquier momento la sustitución del periodo de consultas a que se refiere este apartado por la aplicación del [procedimiento] de mediación o arbitraje que sea de aplicación en el ámbito de la empresa, que deberá desarrollarse dentro del plazo máximo señalado para dicho periodo"
protección,N/A,No encontrado,No,No,"
PROTECCIÓN: vean obligadas a abandonar el puesto de trabajo en la localidad donde venían prestando sus servicios, para hacer efectiva su [protección] o su derecho a la asistencia social integral, tendrán derecho preferente a ocupar otro puesto de trabajo, del mismo grupo profesional o categoría equivalente, que la empresa tenga vacante en cualquier otro de sus centros de trabajo"
protección,N/A,No encontrado,No,No," Para hacer efectivo su derecho de [protección] a la salud, los trabajadores con discapacidad que acrediten la necesidad de recibir fuera de su localidad un tratamiento de habilitación o rehabilitación médico-funcional o atención, tratamiento u orientación psicológica relacionado con su discapacidad, tendrán derecho preferente a ocupar otro puesto de trabajo, del mismo grupo profesional, que la empresa tuviera vacante en otro de sus centros de trabajo en una localidad en que sea más accesible dicho tratamiento, en los términos y condiciones establecidos en el apartado anterior para las trabajadoras víctimas de violencia de género o de violencia sexual y para las víctimas de terrorismo"
rehabilitación,N/A,No encontrado,No,No,"
REHABILITACIÓN: salud, los trabajadores con discapacidad que acrediten la necesidad de recibir fuera de su localidad un tratamiento de habilitación o [rehabilitación] médico-funcional o atención, tratamiento u orientación psicológica relacionado con su discapacidad, tendrán derecho preferente a ocupar otro puesto de trabajo, del mismo grupo profesional, que la empresa tuviera vacante en otro de sus centros de trabajo en una localidad en que sea más accesible dicho tratamiento, en los términos y condiciones establecidos en el apartado anterior para las trabajadoras víctimas de violencia de género o de violencia sexual y para las víctimas de terrorismo"
traslado,N/A,No encontrado,No,No," El [traslado] de trabajadores que no hayan sido contratados específicamente para prestar sus servicios en empresas con  centros de trabajo móviles o itinerantes a un centro de trabajo distinto de la misma empresa que exija cambios de residencia requerirá la existencia de razones económicas, técnicas, organizativas o de producción que lo justifiquen"
traslado,N/A,No encontrado,No,No," La decisión de [traslado] deberá ser notificada por el empresario al trabajador, así como a sus representantes legales, con una antelación mínima de treinta días a la fecha de su efectividad"
traslado,N/A,No encontrado,No,No," Notificada la decisión de [traslado] , el trabajador tendrá derecho a optar entre el traslado, percibiendo una compensación por gastos, o la extinción de su contrato, percibiendo una indemnización de veinte días de salario por año de servicio, prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades"
traslado,N/A,No encontrado,No,No," Notificada la decisión de traslado, el trabajador tendrá derecho a optar entre el [traslado] , percibiendo una compensación por gastos, o la extinción de su contrato, percibiendo una indemnización de veinte días de salario por año de servicio, prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades"
traslado,N/A,No encontrado,No,No," Sin perjuicio de la ejecutividad del [traslado] en el plazo de incorporación citado, el trabajador que, no habiendo optado por la extinción de su contrato, se muestre disconforme con la decisión empresarial podrá impugnarla ante la jurisdicción social"
traslado,traslado justificado,Parcialmente encontrado,Sí,No," La sentencia declarará el [traslado] justificado o injustificado y, en este último caso, reconocerá el derecho del trabajador a ser reincorporado al centro de trabajo de origen"
traslado,N/A,No encontrado,No,No," El [traslado] a que se refiere el apartado anterior deberá ir precedido de un periodo de consultas con los representantes legales de los trabajadores de una duración no superior  a quince días, cuando afecte a la totalidad del centro de trabajo, siempre que este ocupe a más de cinco trabajadores, o cuando, sin afectar a la totalidad del centro de trabajo, en un periodo de noventa días comprenda a un número de trabajadores de, al menos:
a) Diez trabajadores, en las empresas que ocupen menos de cien trabajadores"
traslado,N/A,No encontrado,No,No," Tras la finalización del periodo de consultas el empresario notificará a los trabajadores su decisión sobre el [traslado] , que se regirá a todos los efectos por lo dispuesto en el apartado 1"
traslado,N/A,No encontrado,No,No," Si por [traslado] uno de los cónyuges cambia de residencia, el otro, si fuera trabajador de la misma empresa, tendrá derecho al traslado a la misma localidad, si hubiera puesto de trabajo"
traslado,N/A,No encontrado,No,No,"
TRASLADO: traslado uno de los cónyuges cambia de residencia, el otro, si fuera trabajador de la misma empresa, tendrá derecho al [traslado] a la misma localidad, si hubiera puesto de trabajo"
traslado,N/A,No encontrado,No,No," El [traslado] o el cambio de centro de trabajo tendrá una duración inicial de entre seis y doce meses, durante los cuales la empresa tendrá la obligación de reservar el puesto de trabajo que anteriormente ocupaban las personas trabajadoras"
empresa,N/A,No encontrado,No,No,"
EMPRESA: sus servicios en empresas con centros de trabajo móviles o itinerantes a un centro de trabajo distinto de la misma [empresa] que exija cambios de residencia requerirá la existencia de razones económicas, técnicas, organizativas o de producción que lo justifiquen"
empresa,N/A,No encontrado,No,No," Se consideraran tales las que estén relacionadas con la competitividad, productividad u organización técnica o del trabajo en la [empresa] , así como las contrataciones referidas a la actividad empresarial"
empresa,N/A,No encontrado,No,No," Cuando, con objeto de eludir las previsiones contenidas en el apartado siguiente, la [empresa] realice traslados en periodos sucesivos de noventa días en número inferior a los umbrales allí señalados, sin que concurran causas nuevas que justifiquen tal actuación, dichos nuevos traslados se considerarán efectuados en fraude de ley y serán declarados nulos y sin efecto"
empresa,N/A,No encontrado,No,No, b) El diez por ciento del número de trabajadores de la [empresa] en aquellas que ocupen entre cien y trescientos trabajadores
empresa,N/A,No encontrado,No,No, La intervención como interlocutores ante la dirección de la [empresa] en el procedimiento de consultas corresponderá a los sujetos indicados en el artículo 41
empresa,N/A,No encontrado,No,No," A estos efectos, la dirección de la [empresa] deberá comunicar de manera fehaciente a los trabajadores o a sus representantes su intención de iniciar el procedimiento"
empresa,N/A,No encontrado,No,No," Transcurrido el plazo máximo para la constitución de la comisión representativa, la dirección de la [empresa] podrá comunicar el inicio del periodo de consultas a los represen - tantes de los trabajadores"
empresa,N/A,No encontrado,No,No,"
EMPRESA: este apartado por la aplicación del procedimiento de mediación o arbitraje que sea de aplicación en el ámbito de la [empresa] , que deberá desarrollarse dentro del plazo máximo señalado para dicho periodo"
empresa,N/A,No encontrado,No,No," Si por traslado uno de los cónyuges cambia de residencia, el otro, si fuera trabajador de la misma [empresa] , tendrá derecho al traslado a la misma localidad, si hubiera puesto de trabajo"
empresa,N/A,No encontrado,No,No,"
EMPRESA: social integral, tendrán derecho preferente a ocupar otro puesto de trabajo, del mismo grupo profesional o categoría equivalente, que la [empresa] tenga vacante en cualquier otro de sus centros de trabajo"
empresa,N/A,No encontrado,No,No," En tales supuestos, la [empresa] estará obligada a comunicar a las personas trabajadoras las vacantes existentes en dicho momento o las que se pudieran producir en el futuro"
empresa,N/A,No encontrado,No,No,"
EMPRESA: el cambio de centro de trabajo tendrá una duración inicial de entre seis y doce meses, durante los cuales la [empresa] tendrá la obligación de reservar el puesto de trabajo que anteriormente ocupaban las personas trabajadoras"
empresa,N/A,No encontrado,No,No,"
EMPRESA: psicológica relacionado con su discapacidad, tendrán derecho preferente a ocupar otro puesto de trabajo, del mismo grupo profesional, que la [empresa] tuviera vacante en otro de sus centros de trabajo en una localidad en que sea más accesible dicho tratamiento, en los términos y condiciones establecidos en el apartado anterior para las trabajadoras víctimas de violencia de género o de violencia sexual y para las víctimas de terrorismo"
empresa,N/A,No encontrado,No,No," Por razones económicas, técnicas, organizativas o de producción, o bien por contrataciones referidas a la actividad empresarial, la [empresa] podrá efectuar desplazamientos temporales de sus trabajadores que exijan que estos residan en población distinta de la de su domicilio habitual, abonando, además de los salarios, los gastos de viaje y las dietas"
aplicación,N/A,No encontrado,No,No,"
APLICACIÓN: trabajadores podrán acordar en cualquier momento la sustitución del periodo de consultas a que se refiere este apartado por la [aplicación] del procedimiento de mediación o arbitraje que sea de aplicación en el ámbito de la empresa, que deberá desarrollarse dentro del plazo máximo señalado para dicho periodo"
aplicación,N/A,No encontrado,No,No,"
APLICACIÓN: de consultas a que se refiere este apartado por la aplicación del procedimiento de mediación o arbitraje que sea de [aplicación] en el ámbito de la empresa, que deberá desarrollarse dentro del plazo máximo señalado para dicho periodo"
ley,N/A,No encontrado,No,No,"
LEY: allí señalados, sin que concurran causas nuevas que justifiquen tal actuación, dichos nuevos traslados se considerarán efectuados en fraude de [ley] y serán declarados nulos y sin efecto"
ley,N/A,No encontrado,No,No,"
LEY: en un periodo de tres años exceda de doce meses tendrán, a todos los efectos, el tratamiento previsto en esta [ley] para los traslados"
representación de los trabajadores,N/A,No encontrado,No,No," El empresario y la [representación de los trabajadores] podrán acordar en cualquier momento la sustitución del periodo de consultas a que se refiere este apartado por la aplicación del procedimiento de mediación o arbitraje que sea de aplicación en el ámbito de la empresa, que deberá desarrollarse dentro del plazo máximo señalado para dicho periodo"
trabajador,N/A,No encontrado,No,No," La decisión de traslado deberá ser notificada por el empresario al [trabajador] , así como a sus representantes legales, con una antelación mínima de treinta días a la fecha de su efectividad"
trabajador,N/A,No encontrado,No,No," Notificada la decisión de traslado, el [trabajador] tendrá derecho a optar entre el traslado, percibiendo una compensación por gastos, o la extinción de su contrato, percibiendo una indemnización de veinte días de salario por año de servicio, prorrateándose por meses los periodos de tiempo inferiores a un año y con un máximo de doce mensualidades"
trabajador,N/A,No encontrado,No,No," Sin perjuicio de la ejecutividad del traslado en el plazo de incorporación citado, el [trabajador] que, no habiendo optado por la extinción de su contrato, se muestre disconforme con la decisión empresarial podrá impugnarla ante la jurisdicción social"
trabajador,N/A,No encontrado,No,No," La sentencia declarará el traslado justificado o injustificado y, en este último caso, reconocerá el derecho del [trabajador] a ser reincorporado al centro de trabajo de origen"
trabajador,N/A,No encontrado,No,No," Si por traslado uno de los cónyuges cambia de residencia, el otro, si fuera [trabajador] de la misma empresa, tendrá derecho al traslado a la misma localidad, si hubiera puesto de trabajo"
trabajador,N/A,No encontrado,No,No," El [trabajador] deberá ser informado del desplazamiento con una antelación suficiente a la fecha de su efectividad, que no  podrá ser inferior a cinco días laborables en el caso de desplazamientos de duración superior a tres meses; en este último supuesto, el trabajador tendrá derecho a un permiso de cuatro días laborables en su domicilio de origen por cada tres meses de desplazamiento, sin computar como tales los de viaje, cuyos gastos correrán a cargo del empresario"
