Término,Patrón N+ADJ,Estado,Noun en Glosario,Adj en Glosario,Contexto Completo
trabajo,trabajo nocturno,Parcialmente encontrado,Sí,No,"
TRABAJO: que recurra regularmente a la realización de trabajo nocturno deberá informar de ello a la autoridad laboral. La jornada de  [trabajo] de los trabajadores nocturnos no podrá exceder de ocho horas diarias de promedio, en un periodo de referencia de quince días."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: a aquel que realice normalmente en periodo nocturno una parte no inferior a tres horas de su jornada diaria de  [trabajo] , así como a aquel que se prevea que puede realizar en tal periodo una parte no inferior a un tercio de su jornada de trabajo anual."
trabajo,trabajo anual,Parcialmente encontrado,Sí,No,"
TRABAJO: que se prevea que puede realizar en tal periodo una parte no inferior a un tercio de su jornada de  [trabajo] anual."
trabajo,trabajo nocturno,Parcialmente encontrado,Sí,No,"
TRABAJO: Igualmente, el Gobierno podrá establecer limitaciones y garantías adicionales a las previstas en el presente artículo para la realización de  [trabajo] nocturno en ciertas actividades o por determinada categoría de trabajadores, en función de los riesgos que comporten para su salud y seguridad."
trabajo,trabajo nocturno,Parcialmente encontrado,Sí,No,"
TRABAJO: o por determinada categoría de trabajadores, en función de los riesgos que comporten para su salud y seguridad. 2. El  [trabajo] nocturno tendrá una retribución específica que se determinará en la negociación colectiva, salvo que el salario se haya establecido atendiendo a que el trabajo sea nocturno por su propia naturaleza o se haya acordado la compensación de este trabajo por descansos."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: retribución específica que se determinará en la negociación colectiva, salvo que el salario se haya establecido atendiendo a que el  [trabajo] sea nocturno por su propia naturaleza o se haya acordado la compensación de este trabajo por descansos."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: establecido atendiendo a que el trabajo sea nocturno por su propia naturaleza o se haya acordado la compensación de este  [trabajo] por descansos."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: sea nocturno por su propia naturaleza o se haya acordado la compensación de este trabajo por descansos. 3. Se considera  [trabajo] a turnos toda forma de organización del trabajo en equipo según la cual los trabajadores ocupan sucesivamente los mismos puestos de trabajo, según un cierto ritmo, continuo o discontinuo, implicando para el trabajador la necesidad de prestar sus servicios en horas diferentes en un periodo determinado de días o de semanas."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: haya acordado la compensación de este trabajo por descansos. 3. Se considera trabajo a turnos toda forma de organización del  [trabajo] en equipo según la cual los trabajadores ocupan sucesivamente los mismos puestos de trabajo, según un cierto ritmo, continuo o discontinuo, implicando para el trabajador la necesidad de prestar sus servicios en horas diferentes en un periodo determinado de días o de semanas."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: turnos toda forma de organización del trabajo en equipo según la cual los trabajadores ocupan sucesivamente los mismos puestos de  [trabajo] , según un cierto ritmo, continuo o discontinuo, implicando para el trabajador la necesidad de prestar sus servicios en horas diferentes en un periodo determinado de días o de semanas."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: o de semanas. En las empresas con procesos productivos continuos durante las veinticuatro horas del día, en la organización del  [trabajo] de los turnos se tendrá en cuenta la rotación de los mismos y que ningún trabajador esté en el de noche más de dos semanas consecutivas, salvo adscripción voluntaria."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: noche más de dos semanas consecutivas, salvo adscripción voluntaria. Las empresas que por la naturaleza de su actividad realicen el  [trabajo] en régimen de turnos, incluidos los domingos y días festivos, podrán efectuarlo bien por equipos de trabajadores que desarrollen su actividad por semanas completas, o contratando personal para completar los equipos necesarios durante uno o más días a la semana."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: en todo momento de un nivel de protección en materia de salud y seguridad adaptado a la naturaleza de su  [trabajo] , y equivalente al de los restantes trabajadores de la empresa."
trabajo,trabajo nocturno,Parcialmente encontrado,Sí,No,"
TRABAJO: trabajadores nocturnos que ocupe dispongan de una evaluación gratuita de su estado de salud, antes de su afectación a un  [trabajo] nocturno y, posteriormente, a intervalos regulares, en los términos establecidos en la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, y en sus normas de desarrollo."
trabajo,trabajo nocturno,Parcialmente encontrado,Sí,No,"
TRABAJO: sus normas de desarrollo. Los trabajadores nocturnos a los que se reconozcan problemas de salud ligados al hecho de su  [trabajo] nocturno tendrán derecho a ser destinados a un puesto de trabajo diurno que exista en la empresa y para el que sean profesionalmente aptos."
trabajo,trabajo nocturno,Parcialmente encontrado,Sí,No,"
TRABAJO: reconozcan problemas de salud ligados al hecho de su trabajo nocturno tendrán derecho a ser destinados a un puesto de  [trabajo] diurno que exista en la empresa y para el que sean profesionalmente aptos."
trabajo,trabajo diurno,Parcialmente encontrado,Sí,No,"
TRABAJO: de trabajo diurno que exista en la empresa y para el que sean profesionalmente aptos. El cambio de puesto de  [trabajo] se llevará a cabo de conformidad con lo dispuesto en los artículos 39 y 41, en su caso, de la presente ley."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: dispuesto en los artículos 39 y 41, en su caso, de la presente ley. 5. El empresario que organice el  [trabajo] en la empresa según un cierto ritmo deberá tener en cuenta el principio general de adaptación del trabajo a la persona, especialmente de cara a atenuar el trabajo monótono y repetitivo en función del tipo de actividad y de las exigencias en materia de seguridad y salud de los trabajadores."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: organice el trabajo en la empresa según un cierto ritmo deberá tener en cuenta el principio general de adaptación del  [trabajo] a la persona, especialmente de cara a atenuar el trabajo monótono y repetitivo en función del tipo de actividad y de las exigencias en materia de seguridad y salud de los trabajadores."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: deberá tener en cuenta el principio general de adaptación del trabajo a la persona, especialmente de cara a atenuar el  [trabajo] monótono y repetitivo en función del tipo de actividad y de las exigencias en materia de seguridad y salud de los trabajadores."
trabajo,N/A,No encontrado,No,No,"
TRABAJO: exigencias deberán ser tenidas particularmente en cuenta a la hora de determinar los periodos de descanso durante la jornada de  [trabajo] ."
protección,N/A,No encontrado,No,No,"
PROTECCIÓN: la semana. 4. Los trabajadores nocturnos y quienes trabajen a turnos deberán gozar en todo momento de un nivel de  [protección] en materia de salud y seguridad adaptado a la naturaleza de su trabajo, y equivalente al de los restantes trabajadores de la empresa."
exceder,N/A,No encontrado,No,No,"
EXCEDER: trabajo nocturno deberá informar de ello a la autoridad laboral. La jornada de trabajo de los trabajadores nocturnos no podrá  [exceder] de ocho horas diarias de promedio, en un periodo de referencia de quince días."
empresa,N/A,No encontrado,No,No,"
EMPRESA: de salud y seguridad adaptado a la naturaleza de su trabajo, y equivalente al de los restantes trabajadores de la  [empresa] ."
empresa,N/A,No encontrado,No,No,"
EMPRESA: hecho de su trabajo nocturno tendrán derecho a ser destinados a un puesto de trabajo diurno que exista en la  [empresa] y para el que sean profesionalmente aptos."
empresa,N/A,No encontrado,No,No,"
EMPRESA: artículos 39 y 41, en su caso, de la presente ley. 5. El empresario que organice el trabajo en la  [empresa] según un cierto ritmo deberá tener en cuenta el principio general de adaptación del trabajo a la persona, especialmente de cara a atenuar el trabajo monótono y repetitivo en función del tipo de actividad y de las exigencias en materia de seguridad y salud de los trabajadores."
aplicación,N/A,No encontrado,No,No,"
APLICACIÓN: diarias de promedio, en un periodo de referencia de quince días. Dichos trabajadores no podrán realizar horas extraordinarias. Para la  [aplicación] de lo dispuesto en el párrafo anterior, se considerará trabajador nocturno a aquel que realice normalmente en periodo nocturno una parte no inferior a tres horas de su jornada diaria de trabajo, así como a aquel que se prevea que puede realizar en tal periodo una parte no inferior a un tercio de su jornada de trabajo anual."
aplicación,N/A,No encontrado,No,No,"
APLICACIÓN: puede realizar en tal periodo una parte no inferior a un tercio de su jornada de trabajo anual. Resultará de  [aplicación] a lo establecido en el párrafo segundo lo dispuesto en el artículo 34."
jornada de trabajo,N/A,No encontrado,No,No,"
JORNADA DE TRABAJO: El empresario que recurra regularmente a la realización de trabajo nocturno deberá informar de ello a la autoridad laboral. La  [jornada de trabajo] de los trabajadores nocturnos no podrá exceder de ocho horas diarias de promedio, en un periodo de referencia de quince días."
jornada de trabajo,N/A,No encontrado,No,No,"
JORNADA DE TRABAJO: a aquel que se prevea que puede realizar en tal periodo una parte no inferior a un tercio de su  [jornada de trabajo] anual."
jornada de trabajo,N/A,No encontrado,No,No,"
JORNADA DE TRABAJO: trabajadores. Dichas exigencias deberán ser tenidas particularmente en cuenta a la hora de determinar los periodos de descanso durante la  [jornada de trabajo] ."
ley,N/A,No encontrado,No,No,"
LEY: Artículo 36. Trabajo nocturno, trabajo a turnos y ritmo de trabajo. 1. A los efectos de lo dispuesto en esta  [ley] , se considera trabajo nocturno el realizado entre las diez de la noche y las seis de la mañana."
ley,N/A,No encontrado,No,No,"
LEY: salud, antes de su afectación a un trabajo nocturno y, posteriormente, a intervalos regulares, en los términos establecidos en la  [ley] 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, y en sus normas de desarrollo."
ley,N/A,No encontrado,No,No,"
LEY: llevará a cabo de conformidad con lo dispuesto en los artículos 39 y 41, en su caso, de la presente  [ley] ."
trabajador,trabajador nocturno,Parcialmente encontrado,Sí,No,"
TRABAJADOR: días. Dichos trabajadores no podrán realizar horas extraordinarias. Para la aplicación de lo dispuesto en el párrafo anterior, se considerará  [trabajador] nocturno a aquel que realice normalmente en periodo nocturno una parte no inferior a tres horas de su jornada diaria de trabajo, así como a aquel que se prevea que puede realizar en tal periodo una parte no inferior a un tercio de su jornada de trabajo anual."
trabajador,N/A,No encontrado,No,No,"
TRABAJADOR: cual los trabajadores ocupan sucesivamente los mismos puestos de trabajo, según un cierto ritmo, continuo o discontinuo, implicando para el  [trabajador] la necesidad de prestar sus servicios en horas diferentes en un periodo determinado de días o de semanas."
trabajador,N/A,No encontrado,No,No,"
TRABAJADOR: en la organización del trabajo de los turnos se tendrá en cuenta la rotación de los mismos y que ningún  [trabajador] esté en el de noche más de dos semanas consecutivas, salvo adscripción voluntaria."
personal,N/A,No encontrado,No,No,"
PERSONAL: domingos y días festivos, podrán efectuarlo bien por equipos de trabajadores que desarrollen su actividad por semanas completas, o contratando  [personal] para completar los equipos necesarios durante uno o más días a la semana."
salario,N/A,No encontrado,No,No,"
SALARIO: y seguridad. 2. El trabajo nocturno tendrá una retribución específica que se determinará en la negociación colectiva, salvo que el  [salario] se haya establecido atendiendo a que el trabajo sea nocturno por su propia naturaleza o se haya acordado la compensación de este trabajo por descansos."
descanso,N/A,No encontrado,No,No,"
DESCANSO: salud de los trabajadores. Dichas exigencias deberán ser tenidas particularmente en cuenta a la hora de determinar los periodos de  [descanso] durante la jornada de trabajo."
riesgos,N/A,No encontrado,No,No,"
RIESGOS: artículo para la realización de trabajo nocturno en ciertas actividades o por determinada categoría de trabajadores, en función de los  [riesgos] que comporten para su salud y seguridad."
riesgos,riesgos Laborales,No encontrado,No,No,"
RIESGOS: y, posteriormente, a intervalos regulares, en los términos establecidos en la Ley 31/1995, de 8 de noviembre, de Prevención de  [riesgos] Laborales, y en sus normas de desarrollo."
periodo,N/A,No encontrado,No,No,"
PERIODO: laboral. La jornada de trabajo de los trabajadores nocturnos no podrá exceder de ocho horas diarias de promedio, en un  [periodo] de referencia de quince días."
periodo,periodo nocturno,No encontrado,No,No,"
PERIODO: Para la aplicación de lo dispuesto en el párrafo anterior, se considerará trabajador nocturno a aquel que realice normalmente en  [periodo] nocturno una parte no inferior a tres horas de su jornada diaria de trabajo, así como a aquel que se prevea que puede realizar en tal periodo una parte no inferior a un tercio de su jornada de trabajo anual."
periodo,N/A,No encontrado,No,No,"
PERIODO: tres horas de su jornada diaria de trabajo, así como a aquel que se prevea que puede realizar en tal  [periodo] una parte no inferior a un tercio de su jornada de trabajo anual."
periodo,periodo determinado,No encontrado,No,No,"
PERIODO: cierto ritmo, continuo o discontinuo, implicando para el trabajador la necesidad de prestar sus servicios en horas diferentes en un  [periodo] determinado de días o de semanas."
trabajo nocturno,N/A,No encontrado,No,No,"
TRABAJO NOCTURNO: Artículo 36.  [trabajo nocturno] , trabajo a turnos y ritmo de trabajo."
trabajo nocturno,N/A,No encontrado,No,No,"
TRABAJO NOCTURNO: nocturno, trabajo a turnos y ritmo de trabajo. 1. A los efectos de lo dispuesto en esta ley, se considera  [trabajo nocturno] el realizado entre las diez de la noche y las seis de la mañana."
trabajo nocturno,N/A,No encontrado,No,No,"
TRABAJO NOCTURNO: las diez de la noche y las seis de la mañana. El empresario que recurra regularmente a la realización de  [trabajo nocturno] deberá informar de ello a la autoridad laboral."
trabajo nocturno,N/A,No encontrado,No,No,"
TRABAJO NOCTURNO: Igualmente, el Gobierno podrá establecer limitaciones y garantías adicionales a las previstas en el presente artículo para la realización de  [trabajo nocturno] en ciertas actividades o por determinada categoría de trabajadores, en función de los riesgos que comporten para su salud y seguridad."
trabajo nocturno,N/A,No encontrado,No,No,"
TRABAJO NOCTURNO: o por determinada categoría de trabajadores, en función de los riesgos que comporten para su salud y seguridad. 2. El  [trabajo nocturno] tendrá una retribución específica que se determinará en la negociación colectiva, salvo que el salario se haya establecido atendiendo a que el trabajo sea nocturno por su propia naturaleza o se haya acordado la compensación de este trabajo por descansos."
trabajo nocturno,N/A,No encontrado,No,No,"
TRABAJO NOCTURNO: trabajadores nocturnos que ocupe dispongan de una evaluación gratuita de su estado de salud, antes de su afectación a un  [trabajo nocturno] y, posteriormente, a intervalos regulares, en los términos establecidos en la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, y en sus normas de desarrollo."
trabajo nocturno,N/A,No encontrado,No,No,"
TRABAJO NOCTURNO: sus normas de desarrollo. Los trabajadores nocturnos a los que se reconozcan problemas de salud ligados al hecho de su  [trabajo nocturno] tendrán derecho a ser destinados a un puesto de trabajo diurno que exista en la empresa y para el que sean profesionalmente aptos."
autoridad,autoridad laboral,Parcialmente encontrado,Sí,No,"
AUTORIDAD: de la mañana. El empresario que recurra regularmente a la realización de trabajo nocturno deberá informar de ello a la  [autoridad] laboral."
trabajo diurno,N/A,No encontrado,No,No,"
TRABAJO DIURNO: reconozcan problemas de salud ligados al hecho de su trabajo nocturno tendrán derecho a ser destinados a un puesto de  [trabajo diurno] que exista en la empresa y para el que sean profesionalmente aptos."
organización,N/A,No encontrado,No,No,"
ORGANIZACIÓN: o se haya acordado la compensación de este trabajo por descansos. 3. Se considera trabajo a turnos toda forma de  [organización] del trabajo en equipo según la cual los trabajadores ocupan sucesivamente los mismos puestos de trabajo, según un cierto ritmo, continuo o discontinuo, implicando para el trabajador la necesidad de prestar sus servicios en horas diferentes en un periodo determinado de días o de semanas."
organización,N/A,No encontrado,No,No,"
ORGANIZACIÓN: de días o de semanas. En las empresas con procesos productivos continuos durante las veinticuatro horas del día, en la  [organización] del trabajo de los turnos se tendrá en cuenta la rotación de los mismos y que ningún trabajador esté en el de noche más de dos semanas consecutivas, salvo adscripción voluntaria."
persona,N/A,No encontrado,No,No,"
PERSONA: en la empresa según un cierto ritmo deberá tener en cuenta el principio general de adaptación del trabajo a la  [persona] , especialmente de cara a atenuar el trabajo monótono y repetitivo en función del tipo de actividad y de las exigencias en materia de seguridad y salud de los trabajadores."
seguridad,N/A,No encontrado,No,No,"
SEGURIDAD: en ciertas actividades o por determinada categoría de trabajadores, en función de los riesgos que comporten para su salud y  [seguridad] ."
seguridad,seguridad adaptado,Parcialmente encontrado,Sí,No,"
SEGURIDAD: y quienes trabajen a turnos deberán gozar en todo momento de un nivel de protección en materia de salud y  [seguridad] adaptado a la naturaleza de su trabajo, y equivalente al de los restantes trabajadores de la empresa."
seguridad,N/A,No encontrado,No,No,"
SEGURIDAD: a atenuar el trabajo monótono y repetitivo en función del tipo de actividad y de las exigencias en materia de  [seguridad] y salud de los trabajadores."
régimen,N/A,No encontrado,No,No,"
RÉGIMEN: de dos semanas consecutivas, salvo adscripción voluntaria. Las empresas que por la naturaleza de su actividad realicen el trabajo en  [régimen] de turnos, incluidos los domingos y días festivos, podrán efectuarlo bien por equipos de trabajadores que desarrollen su actividad por semanas completas, o contratando personal para completar los equipos necesarios durante uno o más días a la semana."
organización del trabajo,N/A,No encontrado,No,No,"
ORGANIZACIÓN DEL TRABAJO: o se haya acordado la compensación de este trabajo por descansos. 3. Se considera trabajo a turnos toda forma de  [organización del trabajo] en equipo según la cual los trabajadores ocupan sucesivamente los mismos puestos de trabajo, según un cierto ritmo, continuo o discontinuo, implicando para el trabajador la necesidad de prestar sus servicios en horas diferentes en un periodo determinado de días o de semanas."
organización del trabajo,N/A,No encontrado,No,No,"
ORGANIZACIÓN DEL TRABAJO: de días o de semanas. En las empresas con procesos productivos continuos durante las veinticuatro horas del día, en la  [organización del trabajo] de los turnos se tendrá en cuenta la rotación de los mismos y que ningún trabajador esté en el de noche más de dos semanas consecutivas, salvo adscripción voluntaria."
puesto de trabajo,N/A,No encontrado,No,No,"
PUESTO DE TRABAJO: que se reconozcan problemas de salud ligados al hecho de su trabajo nocturno tendrán derecho a ser destinados a un  [puesto de trabajo] diurno que exista en la empresa y para el que sean profesionalmente aptos."
puesto de trabajo,N/A,No encontrado,No,No,"
PUESTO DE TRABAJO: un puesto de trabajo diurno que exista en la empresa y para el que sean profesionalmente aptos. El cambio de  [puesto de trabajo] se llevará a cabo de conformidad con lo dispuesto en los artículos 39 y 41, en su caso, de la presente ley."
compensación,N/A,No encontrado,No,No,"
COMPENSACIÓN: salario se haya establecido atendiendo a que el trabajo sea nocturno por su propia naturaleza o se haya acordado la  [compensación] de este trabajo por descansos."
