Término,Patrón N+ADJ,Ubicación,Contexto
contrato de relevo,apartado siguiente,Contexto,"CONTRATO DE RELEVO: un mínimo del veinticinco por ciento y un máximo del cincuenta por ciento y la empresa deberá concertar simultáneamente un [contrato de relevo] de acuerdo con lo establecido en el apartado siguiente, con objeto de sustituir la jornada de trabajo dejada vacante por el trabajador que se jubila parcialmente."
contrato de relevo,trabajo dejada,Contexto,CONTRATO DE RELEVO: de sustituir la jornada de trabajo dejada vacante por el trabajador que se jubila parcialmente. También se podrá concertar el [contrato de relevo] ara sustituir a los trabajadores que se jubilen parcialmente después de haber cumplido la edad de jubilación ordinaria que corresponda conforme a lo establecido en el texto refundido de la Ley General de la Seguridad Social.
contrato de relevo,jornada completa,Contexto,"CONTRATO DE RELEVO: la Seguridad Social. La reducción de jornada y de salario podrá alcanzar el setenta y cinco por ciento cuando el [contrato de relevo] e concierte a jornada completa y con duración indefinida, siempre que el trabajador cumpla los requisitos establecidos en el texto refundido de la Ley General de la Seguridad Social."
contrato de relevo,jubilación parcial,Contexto,CONTRATO DE RELEVO: trabajador en concepto de jubilación parcial. La relación laboral se extinguirá al producirse la jubilación total del trabajador. El [contrato de relevo] e ajustará a las siguientes reglas:
contrato de relevo,duración determinada,Contexto,"Se celebrará con un trabajador en situación de desempleo o que tuviese concertado con la empresa un contrato de duración determinada. CONTRATO DE RELEVO: con la empresa un contrato de duración determinada. Salvo lo establecido en los dos párrafos siguientes, la duración del [contrato de relevo] ue se celebre como consecuencia de una jubilación parcial tendrá que ser indefinida o, como mínimo, igual al tiempo que falte al trabajador sustituido para alcanzar la edad de jubilación ordinaria que corresponda conforme a lo establecido en el texto refundido de la Ley General de la Seguridad Social."
contrato de relevo,trabajador jubilado,Contexto,"CONTRATO DE RELEVO: Ley General de la Seguridad Social. Si, al cumplir dicha edad, el trabajador jubilado parcialmente continuase en la empresa, el [contrato de relevo] ue se hubiera celebrado por duración determinada podrá prorrogarse mediante acuerdo con las partes por periodos anuales, extinguiéndose en todo caso al finalizar el periodo correspondiente al año en el que se produzca la jubilación total del trabajador relevado."
contrato de relevo,jubilación total,Contexto,"CONTRATO DE RELEVO: se produzca la jubilación total del trabajador relevado. En el supuesto previsto en el párrafo segundo del apartado , el [contrato de relevo] eberá alcanzar al menos una duración igual al resultado de sumar dos años al tiempo que le falte al trabajador sustituido para alcanzar la edad de jubilación ordinaria que corresponda conforme al texto refundido de la Ley General de la Seguridad Social."
contrato de relevo,jubilación ordinaria,Contexto,"CONTRATO DE RELEVO: edad de jubilación ordinaria prevista en el texto refundido de la Ley General de la Seguridad Social, la duración del [contrato de relevo] ue podrá celebrar la empresa para sustituir la parte de jornada dejada vacante por el mismo podrá ser indefinida o anual."
contrato de relevo,jubilación total,Contexto,"CONTRATO DE RELEVO: la jubilación total del trabajador relevado. Salvo en el supuesto previsto en el párrafo segundo del apartado , el [contrato de relevo] odrá celebrarse a jornada completa o a tiempo parcial."
trabajo,tiempo parcial,Contexto,"TRABAJO: Artículo . Contrato a tiempo parcial y contrato de relevo. El contrato de [trabajo] se entenderá celebrado a tiempo parcial cuando se haya acordado la prestación de servicios durante un número de horas al día, a la semana, al mes o al año, inferior a la jornada de trabajo de un trabajador a tiempo completo comparable."
trabajo,tiempo completo,Contexto,"TRABAJO: durante un número de horas al día, a la semana, al mes o al año, inferior a la jornada de [trabajo] de un trabajador a tiempo completo comparable."
trabajo,tiempo completo,Contexto,TRABAJO: entenderá por «trabajador a tiempo completo comparable» a un trabajador a tiempo completo de la misma empresa y centro de [trabajo] con el mismo tipo de contrato de trabajo y que realice un trabajo idéntico o similar.
trabajo,tiempo completo,Contexto,"TRABAJO: un trabajador a tiempo completo de la misma empresa y centro de trabajo, con el mismo tipo de contrato de [trabajo] que realice un trabajo idéntico o similar."
trabajo,trabajo déntico,Contexto,"TRABAJO: de la misma empresa y centro de trabajo, con el mismo tipo de contrato de trabajo y que realice un [trabajo] déntico o similar."
trabajo,horas ordinarias,Contexto,"TRABAJO: el artículo ., se deberá formalizar necesariamente por escrito. En el contrato deberá figurar el número de horas ordinarias de [trabajo] l día, a la semana, al mes o al año contratadas, así como el modo de su distribución según lo previsto en convenio colectivo."
trabajo,horas ordinarias,Contexto,"TRABAJO: de las horas ordinarias y complementarias, incluidas las previamente pactadas y las voluntarias, no podrá exceder del límite legal del [trabajo] tiempo parcial definido en el apartado ."
trabajo,tiempo completo,Contexto,"TRABAJO: en todo caso la ausencia de discriminación, tanto directa como indirecta, entre mujeres y hombres. La conversión de un [trabajo] tiempo completo en un trabajo parcial y viceversa tendrá siempre carácter voluntario para el trabajador y no se podrá imponer de forma unilateral o como consecuencia de una modificación sustancial de condiciones de trabajo al amparo de lo dispuesto en el artículo ."
trabajo,tiempo completo,Contexto,"TRABAJO: discriminación, tanto directa como indirecta, entre mujeres y hombres. La conversión de un trabajo a tiempo completo en un [trabajo] arcial y viceversa tendrá siempre carácter voluntario para el trabajador y no se podrá imponer de forma unilateral o como consecuencia de una modificación sustancial de condiciones de trabajo al amparo de lo dispuesto en el artículo ."
trabajo,forma unilateral,Contexto,TRABAJO: el trabajador y no se podrá imponer de forma unilateral o como consecuencia de una modificación sustancial de condiciones de [trabajo] l amparo de lo dispuesto en el artículo .
trabajo,causas económicas,Contexto,"TRABAJO: .c), puedan adoptarse por causas económicas, técnicas, organizativas o de producción. A fin de posibilitar la movilidad voluntaria en el [trabajo] tiempo parcial, el empresario deberá informar a los trabajadores de la empresa sobre la existencia de puestos de trabajo vacantes, de manera que aquellos puedan formular solicitudes de conversión voluntaria de un trabajo a tiempo completo en un trabajo a tiempo parcial y viceversa, o para el incremento del tiempo de trabajo de los trabajadores a tiempo parcial, todo ello de conformidad con los procedimientos que se establezcan en convenio colectivo."
trabajo,tiempo parcial,Contexto,"TRABAJO: trabajo a tiempo parcial, el empresario deberá informar a los trabajadores de la empresa sobre la existencia de puestos de [trabajo] acantes, de manera que aquellos puedan formular solicitudes de conversión voluntaria de un trabajo a tiempo completo en un trabajo a tiempo parcial y viceversa, o para el incremento del tiempo de trabajo de los trabajadores a tiempo parcial, todo ello de conformidad con los procedimientos que se establezcan en convenio colectivo."
trabajo,trabajo vacantes,Contexto,"TRABAJO: sobre la existencia de puestos de trabajo vacantes, de manera que aquellos puedan formular solicitudes de conversión voluntaria de un [trabajo] tiempo completo en un trabajo a tiempo parcial y viceversa, o para el incremento del tiempo de trabajo de los trabajadores a tiempo parcial, todo ello de conformidad con los procedimientos que se establezcan en convenio colectivo."
trabajo,trabajo vacantes,Contexto,"TRABAJO: trabajo vacantes, de manera que aquellos puedan formular solicitudes de conversión voluntaria de un trabajo a tiempo completo en un [trabajo] tiempo parcial y viceversa, o para el incremento del tiempo de trabajo de los trabajadores a tiempo parcial, todo ello de conformidad con los procedimientos que se establezcan en convenio colectivo."
trabajo,tiempo completo,Contexto,"TRABAJO: un trabajo a tiempo completo en un trabajo a tiempo parcial y viceversa, o para el incremento del tiempo de [trabajo] e los trabajadores a tiempo parcial, todo ello de conformidad con los procedimientos que se establezcan en convenio colectivo."
trabajo,horas complementarias,Contexto,TRABAJO: se podrá formalizar un pacto de horas complementarias en el caso de contratos a tiempo parcial con una jornada de [trabajo] o inferior a diez horas semanales en cómputo anual.
trabajo,horas complementarias,Contexto,TRABAJO: el empresario. El número de horas complementarias pactadas no podrá exceder del treinta por ciento de las horas ordinarias de [trabajo] bjeto del contrato.
trabajo,horas complementarias,Contexto,"TRABAJO: Sin perjuicio del pacto de horas complementarias, en los contratos a tiempo parcial de duración indefinida con una jornada de [trabajo] o inferior a diez horas semanales en cómputo anual, el empresario podrá, en cualquier momento, ofrecer al trabajador la realización de horas complementarias de aceptación voluntaria, cuyo número no podrá superar el quince por ciento, ampliables al treinta por ciento por convenio colectivo, de las horas ordinarias objeto del contrato."
trabajo,apartado siguiente,Contexto,"TRABAJO: un contrato de relevo, de acuerdo con lo establecido en el apartado siguiente, con objeto de sustituir la jornada de [trabajo] ejada vacante por el trabajador que se jubila parcialmente."
trabajo,requisitos establecidos,Contexto,TRABAJO: requisitos establecidos en el texto refundido de la Ley General de la Seguridad Social. La ejecución de este contrato de [trabajo] tiempo parcial y su retribución serán compatibles con la pensión que la Seguridad Social reconozca al trabajador en concepto de jubilación parcial.
trabajo,jornada acordada,Contexto,"TRABAJO: la jornada deberá ser, como mínimo, igual a la reducción de jornada acordada por el trabajador sustituido. El horario de [trabajo] el trabajador relevista podrá completar el del trabajador sustituido o simultanearse con él."
trabajo,trabajador relevista,Contexto,TRABAJO: horario de trabajo del trabajador relevista podrá completar el del trabajador sustituido o simultanearse con él. El puesto de [trabajo] el trabajador relevista podrá ser el mismo del trabajador sustituido.
formación,convenios colectivos,Contexto,"FORMACIÓN: motivada. Los convenios colectivos establecerán medidas para facilitar el acceso efectivo de los trabajadores a tiempo parcial a la [formación] rofesional continua, a fin de favorecer su progresión y movilidad profesionales."
empresa,párrafo anterior,Contexto,"EMPRESA: el párrafo anterior, se entenderá por «trabajador a tiempo completo comparable» a un trabajador a tiempo completo de la misma [empresa] centro de trabajo, con el mismo tipo de contrato de trabajo y que realice un trabajo idéntico o similar."
empresa,trabajo idéntico,Contexto,"EMPRESA: trabajo, con el mismo tipo de contrato de trabajo y que realice un trabajo idéntico o similar. Si en la [empresa] o hubiera ningún trabajador comparable a tiempo completo, se considerará la jornada a tiempo completo prevista en el convenio colectivo de aplicación o, en su defecto, la jornada máxima legal."
empresa,movilidad voluntaria,Contexto,"EMPRESA: de posibilitar la movilidad voluntaria en el trabajo a tiempo parcial, el empresario deberá informar a los trabajadores de la [empresa] obre la existencia de puestos de trabajo vacantes, de manera que aquellos puedan formular solicitudes de conversión voluntaria de un trabajo a tiempo completo en un trabajo a tiempo parcial y viceversa, o para el incremento del tiempo de trabajo de los trabajadores a tiempo parcial, todo ello de conformidad con los procedimientos que se establezcan en convenio colectivo."
empresa,texto refundido,Contexto,"EMPRESA: en el texto refundido de la Ley General de la Seguridad Social y demás disposiciones concordantes, deberá acordar con su [empresa] na reducción de jornada y de salario de entre un mínimo del veinticinco por ciento y un máximo del cincuenta por ciento y la empresa deberá concertar simultáneamente un contrato de relevo, de acuerdo con lo establecido en el apartado siguiente, con objeto de sustituir la jornada de trabajo dejada vacante por el trabajador que se jubila parcialmente."
empresa,apartado siguiente,Contexto,"EMPRESA: y de salario de entre un mínimo del veinticinco por ciento y un máximo del cincuenta por ciento y la [empresa] eberá concertar simultáneamente un contrato de relevo, de acuerdo con lo establecido en el apartado siguiente, con objeto de sustituir la jornada de trabajo dejada vacante por el trabajador que se jubila parcialmente."
empresa,duración determinada,Contexto,EMPRESA: a las siguientes reglas: Se celebrará con un trabajador en situación de desempleo o que tuviese concertado con la [empresa] n contrato de duración determinada.
empresa,trabajador jubilado,Contexto,"EMPRESA: de la Ley General de la Seguridad Social. Si, al cumplir dicha edad, el trabajador jubilado parcialmente continuase en la [empresa] el contrato de relevo que se hubiera celebrado por duración determinada podrá prorrogarse mediante acuerdo con las partes por periodos anuales, extinguiéndose en todo caso al finalizar el periodo correspondiente al año en el que se produzca la jubilación total del trabajador relevado."
empresa,texto refundido,Contexto,"EMPRESA: texto refundido de la Ley General de la Seguridad Social, la duración del contrato de relevo que podrá celebrar la [empresa] ara sustituir la parte de jornada dejada vacante por el mismo podrá ser indefinida o anual."
pensión,tiempo parcial,Contexto,PENSIÓN: la Seguridad Social. La ejecución de este contrato de trabajo a tiempo parcial y su retribución serán compatibles con la [pensión] ue la Seguridad Social reconozca al trabajador en concepto de jubilación parcial.
texto refundido,texto refundido,Término,"TEXTO REFUNDIDO: la Seguridad Social. Para que el trabajador pueda acceder a la jubilación parcial, en los términos establecidos en el [texto refundido] e la Ley General de la Seguridad Social y demás disposiciones concordantes, deberá acordar con su empresa una reducción de jornada y de salario de entre un mínimo del veinticinco por ciento y un máximo del cincuenta por ciento y la empresa deberá concertar simultáneamente un contrato de relevo, de acuerdo con lo establecido en el apartado siguiente, con objeto de sustituir la jornada de trabajo dejada vacante por el trabajador que se jubila parcialmente."
texto refundido,texto refundido,Término,TEXTO REFUNDIDO: se jubilen parcialmente después de haber cumplido la edad de jubilación ordinaria que corresponda conforme a lo establecido en el [texto refundido] e la Ley General de la Seguridad Social.
texto refundido,texto refundido,Término,"TEXTO REFUNDIDO: relevo se concierte a jornada completa y con duración indefinida, siempre que el trabajador cumpla los requisitos establecidos en el [texto refundido] e la Ley General de la Seguridad Social."
texto refundido,texto refundido,Término,TEXTO REFUNDIDO: que falte al trabajador sustituido para alcanzar la edad de jubilación ordinaria que corresponda conforme a lo establecido en el [texto refundido] e la Ley General de la Seguridad Social.
texto refundido,texto refundido,Término,TEXTO REFUNDIDO: años al tiempo que le falte al trabajador sustituido para alcanzar la edad de jubilación ordinaria que corresponda conforme al [texto refundido] e la Ley General de la Seguridad Social.
texto refundido,texto refundido,Término,"TEXTO REFUNDIDO: restante. En el caso del trabajador jubilado parcialmente después de haber cumplido la edad de jubilación ordinaria prevista en el [texto refundido] e la Ley General de la Seguridad Social, la duración del contrato de relevo que podrá celebrar la empresa para sustituir la parte de jornada dejada vacante por el mismo podrá ser indefinida o anual."
texto refundido,texto refundido,Término,"TEXTO REFUNDIDO: En todo caso, deberá existir una correspondencia entre las bases de cotización de ambos, en los términos previstos en el [texto refundido] e la Ley General de la Seguridad Social."
cómputo anual,cómputo anual,Término,CÓMPUTO ANUAL: en el caso de contratos a tiempo parcial con una jornada de trabajo no inferior a diez horas semanales en [cómputo anual] El pacto de horas complementarias deberá recoger el número de horas complementarias cuya realización podrá ser requerida por el empresario.
cómputo anual,cómputo anual,Término,"CÓMPUTO ANUAL: los contratos a tiempo parcial de duración indefinida con una jornada de trabajo no inferior a diez horas semanales en [cómputo anual] el empresario podrá, en cualquier momento, ofrecer al trabajador la realización de horas complementarias de aceptación voluntaria, cuyo número no podrá superar el quince por ciento, ampliables al treinta por ciento por convenio colectivo, de las horas ordinarias objeto del contrato."
aplicación,trabajador comparable,Contexto,"APLICACIÓN: hubiera ningún trabajador comparable a tiempo completo, se considerará la jornada a tiempo completo prevista en el convenio colectivo de [aplicación] , en su defecto, la jornada máxima legal."
jornada de trabajo,tiempo completo,Contexto,"JORNADA DE TRABAJO: de servicios durante un número de horas al día, a la semana, al mes o al año, inferior a la [jornada de trabajo] de un trabajador a tiempo completo comparable."
jornada de trabajo,horas complementarias,Contexto,JORNADA DE TRABAJO: Solo se podrá formalizar un pacto de horas complementarias en el caso de contratos a tiempo parcial con una [jornada de trabajo] o inferior a diez horas semanales en cómputo anual.
jornada de trabajo,horas complementarias,Contexto,"JORNADA DE TRABAJO: sancionable. Sin perjuicio del pacto de horas complementarias, en los contratos a tiempo parcial de duración indefinida con una [jornada de trabajo] o inferior a diez horas semanales en cómputo anual, el empresario podrá, en cualquier momento, ofrecer al trabajador la realización de horas complementarias de aceptación voluntaria, cuyo número no podrá superar el quince por ciento, ampliables al treinta por ciento por convenio colectivo, de las horas ordinarias objeto del contrato."
jornada de trabajo,apartado siguiente,Contexto,"JORNADA DE TRABAJO: concertar simultáneamente un contrato de relevo, de acuerdo con lo establecido en el apartado siguiente, con objeto de sustituir la [jornada de trabajo] ejada vacante por el trabajador que se jubila parcialmente."
jornada completa,jornada completa,Término,"JORNADA COMPLETA: de su distribución según lo previsto en convenio colectivo. De no observarse estas exigencias, el contrato se presumirá celebrado a [jornada completa] salvo prueba en contrario que acredite el carácter parcial de los servicios."
jornada completa,jornada completa,Término,"JORNADA COMPLETA: mínimo de cuatro años. En caso de incumplimiento de las referidas obligaciones de registro, el contrato se presumirá celebrado a [jornada completa] salvo prueba en contrario que acredite el carácter parcial de los servicios."
jornada completa,jornada completa,Término,"JORNADA COMPLETA: jornada y de salario podrá alcanzar el setenta y cinco por ciento cuando el contrato de relevo se concierte a [jornada completa] con duración indefinida, siempre que el trabajador cumpla los requisitos establecidos en el texto refundido de la Ley General de la Seguridad Social."
jornada completa,jornada completa,Término,"JORNADA COMPLETA: Salvo en el supuesto previsto en el párrafo segundo del apartado , el contrato de relevo podrá celebrarse a [jornada completa] a tiempo parcial."
desempleo,duración determinada,Contexto,DESEMPLEO: . El contrato de relevo se ajustará a las siguientes reglas: Se celebrará con un trabajador en situación de [desempleo] que tuviese concertado con la empresa un contrato de duración determinada.
trabajador,tiempo completo,Contexto,"TRABAJADOR: de horas al día, a la semana, al mes o al año, inferior a la jornada de trabajo de un [trabajador] a tiempo completo comparable."
trabajador,tiempo completo,Contexto,"TRABAJADOR: trabajo de un trabajador a tiempo completo comparable. A efectos de lo dispuesto en el párrafo anterior, se entenderá por [trabajador] a tiempo completo comparable» a un trabajador a tiempo completo de la misma empresa y centro de trabajo, con el mismo tipo de contrato de trabajo y que realice un trabajo idéntico o similar."
trabajador,párrafo anterior,Contexto,"TRABAJADOR: comparable. A efectos de lo dispuesto en el párrafo anterior, se entenderá por «trabajador a tiempo completo comparable» a un [trabajador] tiempo completo de la misma empresa y centro de trabajo, con el mismo tipo de contrato de trabajo y que realice un trabajo idéntico o similar."
trabajador,trabajo idéntico,Contexto,"TRABAJADOR: tipo de contrato de trabajo y que realice un trabajo idéntico o similar. Si en la empresa no hubiera ningún [trabajador] omparable a tiempo completo, se considerará la jornada a tiempo completo prevista en el convenio colectivo de aplicación o, en su defecto, la jornada máxima legal."
trabajador,tiempo parcial,Contexto,"TRABAJADOR: la jornada de los trabajadores a tiempo parcial se registrará día a día y se totalizará mensualmente, entregando copia al [trabajador] junto con el recibo de salarios, del resumen de todas las horas realizadas en cada mes, tanto las ordinarias como las complementarias a que se refiere el apartado ."
trabajador,tiempo completo,Contexto,TRABAJADOR: La conversión de un trabajo a tiempo completo en un trabajo parcial y viceversa tendrá siempre carácter voluntario para el [trabajador] no se podrá imponer de forma unilateral o como consecuencia de una modificación sustancial de condiciones de trabajo al amparo de lo dispuesto en el artículo .
trabajador,modificación sustancial,Contexto,"TRABAJADOR: como consecuencia de una modificación sustancial de condiciones de trabajo al amparo de lo dispuesto en el artículo .a). El [trabajador] o podrá ser despedido ni sufrir ningún otro tipo de sanción o efecto perjudicial por el hecho de rechazar esta conversión, sin perjuicio de las medidas que, de conformidad con lo dispuesto en los artículos y ."
trabajador,or escrito,Contexto,"TRABAJADOR: la medida de lo posible, por el empresario. La denegación de la solicitud deberá ser notificada por el empresario al [trabajador] or escrito y de manera motivada."
trabajador,empresario solo,Contexto,"TRABAJADOR: reglas: El empresario solo podrá exigir la realización de horas complementarias cuando así lo hubiera pactado expresamente con el [trabajador] El pacto sobre horas complementarias podrá acordarse en el momento de la celebración del contrato a tiempo parcial o con posterioridad al mismo, pero constituirá, en todo caso, un pacto específico respecto al contrato."
trabajador,ordinarias contratadas,Contexto,"TRABAJADOR: ser inferior al citado treinta por ciento ni exceder del sesenta por ciento de las horas ordinarias contratadas. El [trabajador] eberá conocer el día y la hora de realización de las horas complementarias pactadas con un preaviso mínimo de tres días, salvo que el convenio establezca un plazo de preaviso inferior."
trabajador,preaviso inferior,Contexto,"TRABAJADOR: convenio establezca un plazo de preaviso inferior. El pacto de horas complementarias podrá quedar sin efecto por renuncia del [trabajador] mediante un preaviso de quince días, una vez cumplido un año desde su celebración, cuando concurra alguna de las siguientes circunstancias:"
trabajador,reglas previstas,Contexto,". TRABAJADOR: estarán sujetos a las reglas previstas en las letras anteriores. En caso de incumplimiento de tales reglas, la negativa del [trabajador] la realización de las horas complementarias, pese a haber sido pactadas, no constituirá conducta laboral sancionable."
trabajador,horas semanales,Contexto,"TRABAJADOR: jornada de trabajo no inferior a diez horas semanales en cómputo anual, el empresario podrá, en cualquier momento, ofrecer al [trabajador] a realización de horas complementarias de aceptación voluntaria, cuyo número no podrá superar el quince por ciento, ampliables al treinta por ciento por convenio colectivo, de las horas ordinarias objeto del contrato."
trabajador,convenio colectivo,Contexto,"TRABAJADOR: por ciento, ampliables al treinta por ciento por convenio colectivo, de las horas ordinarias objeto del contrato. La negativa del [trabajador] la realización de estas horas no constituirá conducta laboral sancionable."
trabajador,recibo individual,Contexto,"TRABAJADOR: en el recibo individual de salarios y en los documentos de cotización a la Seguridad Social. Para que el [trabajador] ueda acceder a la jubilación parcial, en los términos establecidos en el texto refundido de la Ley General de la Seguridad Social y demás disposiciones concordantes, deberá acordar con su empresa una reducción de jornada y de salario de entre un mínimo del veinticinco por ciento y un máximo del cincuenta por ciento y la empresa deberá concertar simultáneamente un contrato de relevo, de acuerdo con lo establecido en el apartado siguiente, con objeto de sustituir la jornada de trabajo dejada vacante por el trabajador que se jubila parcialmente."
trabajador,apartado siguiente,Contexto,"TRABAJADOR: acuerdo con lo establecido en el apartado siguiente, con objeto de sustituir la jornada de trabajo dejada vacante por el [trabajador] ue se jubila parcialmente."
trabajador,jornada completa,Contexto,"TRABAJADOR: cinco por ciento cuando el contrato de relevo se concierte a jornada completa y con duración indefinida, siempre que el [trabajador] umpla los requisitos establecidos en el texto refundido de la Ley General de la Seguridad Social."
trabajador,tiempo parcial,Contexto,TRABAJADOR: contrato de trabajo a tiempo parcial y su retribución serán compatibles con la pensión que la Seguridad Social reconozca al [trabajador] n concepto de jubilación parcial.
trabajador,jubilación parcial,Contexto,TRABAJADOR: Social reconozca al trabajador en concepto de jubilación parcial. La relación laboral se extinguirá al producirse la jubilación total del [trabajador] .
trabajador,jubilación total,Contexto,TRABAJADOR: jubilación total del trabajador. El contrato de relevo se ajustará a las siguientes reglas: Se celebrará con un [trabajador] n situación de desempleo o que tuviese concertado con la empresa un contrato de duración determinada.
trabajador,jubilación parcial,Contexto,"TRABAJADOR: celebre como consecuencia de una jubilación parcial tendrá que ser indefinida o, como mínimo, igual al tiempo que falte al [trabajador] ustituido para alcanzar la edad de jubilación ordinaria que corresponda conforme a lo establecido en el texto refundido de la Ley General de la Seguridad Social."
trabajador,texto refundido,Contexto,"TRABAJADOR: lo establecido en el texto refundido de la Ley General de la Seguridad Social. Si, al cumplir dicha edad, el [trabajador] ubilado parcialmente continuase en la empresa, el contrato de relevo que se hubiera celebrado por duración determinada podrá prorrogarse mediante acuerdo con las partes por periodos anuales, extinguiéndose en todo caso al finalizar el periodo correspondiente al año en el que se produzca la jubilación total del trabajador relevado."
trabajador,periodo correspondiente,Contexto,TRABAJADOR: extinguiéndose en todo caso al finalizar el periodo correspondiente al año en el que se produzca la jubilación total del [trabajador] elevado.
trabajador,duración igual,Contexto,TRABAJADOR: relevo deberá alcanzar al menos una duración igual al resultado de sumar dos años al tiempo que le falte al [trabajador] ustituido para alcanzar la edad de jubilación ordinaria que corresponda conforme al texto refundido de la Ley General de la Seguridad Social.
trabajador,tiempo restante,Contexto,"TRABAJADOR: obligado a celebrar un nuevo contrato en los mismos términos del extinguido, por el tiempo restante. En el caso del [trabajador] ubilado parcialmente después de haber cumplido la edad de jubilación ordinaria prevista en el texto refundido de la Ley General de la Seguridad Social, la duración del contrato de relevo que podrá celebrar la empresa para sustituir la parte de jornada dejada vacante por el mismo podrá ser indefinida o anual."
trabajador,periodo correspondiente,Contexto,"TRABAJADOR: anuales, extinguiéndose en todo caso al finalizar el periodo correspondiente al año en que se produzca la jubilación total del [trabajador] elevado."
trabajador,jornada acordada,Contexto,"TRABAJADOR: todo caso, la duración de la jornada deberá ser, como mínimo, igual a la reducción de jornada acordada por el [trabajador] ustituido."
trabajador,jornada acordada,Contexto,"TRABAJADOR: deberá ser, como mínimo, igual a la reducción de jornada acordada por el trabajador sustituido. El horario de trabajo del [trabajador] elevista podrá completar el del trabajador sustituido o simultanearse con él."
trabajador,jornada acordada,Contexto,TRABAJADOR: la reducción de jornada acordada por el trabajador sustituido. El horario de trabajo del trabajador relevista podrá completar el del [trabajador] ustituido o simultanearse con él.
trabajador,trabajador relevista,Contexto,TRABAJADOR: trabajo del trabajador relevista podrá completar el del trabajador sustituido o simultanearse con él. El puesto de trabajo del [trabajador] elevista podrá ser el mismo del trabajador sustituido.
trabajador,trabajador sustituido,Contexto,TRABAJADOR: del trabajador sustituido o simultanearse con él. El puesto de trabajo del trabajador relevista podrá ser el mismo del [trabajador] ustituido.
modificación,carácter voluntario,Contexto,MODIFICACIÓN: tendrá siempre carácter voluntario para el trabajador y no se podrá imponer de forma unilateral o como consecuencia de una [modificación] ustancial de condiciones de trabajo al amparo de lo dispuesto en el artículo .
ausencia,convenios colectivos,Contexto,"AUSENCIA: reglamentarias y en los convenios colectivos de manera proporcional, en función del tiempo trabajado, debiendo garantizarse en todo caso la [ausencia] e discriminación, tanto directa como indirecta, entre mujeres y hombres."
sanción,efecto perjudicial,Contexto,"SANCIÓN: amparo de lo dispuesto en el artículo .a). El trabajador no podrá ser despedido ni sufrir ningún otro tipo de [sanción] efecto perjudicial por el hecho de rechazar esta conversión, sin perjuicio de las medidas que, de conformidad con lo dispuesto en los artículos y ."
periodo,resúmenes mensuales,Contexto,PERIODO: que se refiere el apartado . El empresario deberá conservar los resúmenes mensuales de los registros de jornada durante un [periodo] ínimo de cuatro años.
