Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
requisito establecido en el texto,Encontrado en glosario,Sí,No,Sí,Sí,No,"que se hubiera celebrado por duración determinada podrá prorrogarse mediante acuerdo con las partes por periodos anuales, extinguiéndose en todo requisito establecido en el texto arcial y contrato de relevo"
texto refundir de el ley,Encontrado en glosario,Sí,No,Sí,Sí,No,"por duración determinada podrá prorrogarse mediante acuerdo con las partes por periodos anuales, extinguiéndose en todo caso al finalizar el texto refundir de el ley tiempo parcial y contrato de relevo"
jubilación total del  trabajador,Encontrado en glosario,Sí,No,Sí,Sí,No,al menos una duración igual al resultado de sumar dos años al tiempo que le falte al trabajador sustituido para jubilación total del  trabajador parcial y contrato de relevo
texto refundir de el ley,Encontrado en glosario,Sí,No,Sí,Sí,No,"Social, la duración del contrato de relevo que podrá celebrar la empresa para sustituir la parte de jornada dejada vacante texto refundir de el ley tiempo parcial y contrato de relevo"
periodo correspondiente al  año,Encontrado en glosario,Sí,No,Sí,Sí,No,"jubilación total del trabajador relevado. c) Salvo en el supuesto previsto en el párrafo segundo del apartado 6, el contrato periodo correspondiente al  año parcial y contrato de relevo"
jubilación total del  trabajador,Encontrado en glosario,Sí,No,Sí,Sí,No,"previsto en el párrafo segundo del apartado 6, el contrato de relevo podrá celebrarse a jornada completa o a tiempo jubilación total del  trabajador parcial y contrato de relevo"
párrafo segundo del  apartado,No encontrado,No,No,No,No,No,"podrá celebrarse a jornada completa o a tiempo parcial. En todo caso, la duración de la jornada deberá ser, como párrafo segundo del  apartado po parcial y contrato de relevo"
duración igual al  resultado,Encontrado en glosario,Sí,No,No,Sí,No,"la jornada deberá ser, como mínimo, igual a la reducción de jornada acordada por el trabajador sustituido. El horario de duración igual al  resultado mpo parcial y contrato de relevo"
texto refundir de el ley,Encontrado en glosario,Sí,No,Sí,Sí,No,del trabajador sustituido o simultanearse con él. d) El puesto de trabajo del trabajador relevista podrá ser el mismo del texto refundir de el ley tiempo parcial y contrato de relevo
texto refundir de el ley,Encontrado en glosario,Sí,No,Sí,Sí,No,texto refundir de el ley tiempo parcial y contrato de relevo
periodo correspondiente al  año,Encontrado en glosario,Sí,No,Sí,Sí,No,periodo correspondiente al  año parcial y contrato de relevo
jubilación total del  trabajador,Encontrado en glosario,Sí,No,Sí,Sí,No,jubilación total del  trabajador parcial y contrato de relevo
párrafo segundo del  apartado,No encontrado,No,No,No,No,No,párrafo segundo del  apartado po parcial y contrato de relevo
jornada acordado por el trabajador,Encontrado en glosario,Sí,No,Sí,Sí,No,jornada acordado por el trabajador rcial y contrato de relevo
término previsto en el texto,Encontrado en glosario,Sí,No,Sí,Sí,No,término previsto en el texto mpo parcial y contrato de relevo
texto refundir de el ley,Encontrado en glosario,Sí,No,Sí,Sí,No,texto refundir de el ley tiempo parcial y contrato de relevo
