Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
duración determinado para el sustitución,Encontrado en glosario,Sí,No,Sí,Sí,No,"de la persona sustituida y la causa de la sustitución. En tal supuesto, la prestación de servicios podrá iniciarse antes duración determinado para el sustitución rabajo"
persona trabajador con  derecho,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"de la sustitución. En tal supuesto, la prestación de servicios podrá iniciarse antes de que se produzca la ausencia de persona trabajador con  derecho rato de trabajo"
desempeño adecuado del  puesto,Parcialmente encontrado,No,No,Sí,No,No,ampare en causas legalmente establecidas o reguladas en el convenio colectivo y se especifique en el contrato el nombre de desempeño adecuado del  puesto trato de trabajo
jornada reducido por otro persona,Encontrado en glosario,Sí,No,Sí,Sí,No,causa de la sustitución. El contrato de sustitución podrá ser también celebrado para la cobertura temporal de un puesto de jornada reducido por otro persona to de trabajo
cobertura temporal de uno puesto,Parcialmente encontrado,No,Sí,Sí,No,No,"recogido en convenio colectivo, ni pueda celebrarse un nuevo contrato con el mismo objeto una vez superada dicha duración máxima. cobertura temporal de uno puesto ato de trabajo"
cobertura definitivo mediante  contrato,Parcialmente encontrado,No,No,Sí,No,No,superada dicha duración máxima. 4. Las personas contratadas incumpliendo lo establecido en este artículo adquirirán la condición de fijas. También cobertura definitivo mediante  contrato trabajo
disposición realizado con  empresa,Encontrado en glosario,Sí,No,Sí,Sí,No,"Cuando corresponda en atención a su naturaleza, tales derechos serán reconocidos en las disposiciones legales y reglamentarias y en los disposición realizado con  empresa o de trabajo"
particularidad específico de cada uno,No encontrado,No,No,No,No,No,trabajo esté atribuido en las disposiciones legales o reglamentarias y en los convenios colectivos en función de una previa anti particularidad específico de cada uno e trabajo
modalidad contractual en  materia,Encontrado en glosario,Sí,No,Sí,Sí,No,"o reglamentarias y en los convenios colectivos en función de una previa anti - güedad de la persona trabajadora, esta modalidad contractual en  materia to de trabajo"
convenio colectivo de  manera,Encontrado en glosario,Sí,Sí,No,Sí,Sí,"las personas con contratos de duración determinada o temporales, incluidos los contratos formativos, sobre la existencia de puestos de trabajo convenio colectivo de  manera ntrato de trabajo"
convenio colectivo en  función,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,permanentes que las demás personas trabajadoras. Esta información podrá facilitarse mediante un anuncio público en un lugar adecuado de la convenio colectivo en  función trato de trabajo
anuncio público en uno lugar,Parcialmente encontrado,No,Sí,Sí,No,Sí,"copia básica de los mismos. 8. Los convenios colectivos podrán establecer planes de reducción de la temporalidad, así como fijar anuncio público en uno lugar ontrato de trabajo"
lugar adecuado de el empresa,Encontrado en glosario,Sí,No,Sí,Sí,No,"mismos. 8. Los convenios colectivos podrán establecer planes de reducción de la temporalidad, así como fijar criterios generales relativos a lugar adecuado de el empresa ontrato de trabajo"
medio previsto en el negociación,Encontrado en glosario,Sí,No,Sí,Sí,No,así como fijar criterios generales relativos a la adecuada relación entre el volumen de la contratación de carácter temporal y medio previsto en el negociación ato de trabajo
representación legal de el persona,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"empresa, criterios objetivos de conversión de los contratos de duración determinada o temporales en indefinidos, así como fijar porcentajes máximos representación legal de el persona o de trabajo"
representación legal de el persona,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"fijar porcentajes máximos de temporalidad y las consecuencias derivadas del incumplimiento de los mismos. Asimismo, los convenios colectivos podrán establecer representación legal de el persona o de trabajo"
contrato realizado de  acuerdo,Encontrado en glosario,Sí,No,Sí,Sí,No,"consecuencias derivadas del incumplimiento de los mismos. Asimismo, los convenios colectivos podrán establecer criterios de preferencia entre las personas con contrato realizado de  acuerdo trato de trabajo"
copia básico de el mismo,Encontrado en glosario,Sí,No,No,Sí,No,"o temporales, incluidas las personas puestas a disposición. Los convenios colectivos establecerán medidas para facilitar el acceso efectivo de estas copia básico de el mismo el contrato de trabajo"
plantilla total de el empresa,Encontrado en glosario,Sí,No,Sí,Sí,No,"favorecer su progresión y movilidad profesionales. 9. En los supuestos previstos en los apartados 4 y 5, la empresa deberá plantilla total de el empresa ntrato de trabajo"
criterio objetivo de  conversión,Parcialmente encontrado,No,Sí,Sí,No,Sí,"9. En los supuestos previstos en los apartados 4 y 5, la empresa deberá facilitar por escrito a la persona criterio objetivo de  conversión ato de trabajo"
porcentaje máximo de  temporalidad,No encontrado,No,No,No,No,No,"la persona trabajadora, en los diez días siguientes al cumplimiento de los plazos indicados, un documento justificativo sobre su nueva porcentaje máximo de  temporalidad o de trabajo"
consecuencia derivado del  incumplimiento,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"días siguientes al cumplimiento de los plazos indicados, un documento justificativo sobre su nueva condición de persona trabajadora fija de consecuencia derivado del  incumplimiento abajo"
persona puesto a  disposición,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"dicha circunstancia. En todo caso, la persona trabajadora podrá solicitar, por escrito al servicio público de empleo correspondiente un certificado persona puesto a  disposición ntrato de trabajo"
acceso efectivo de este persona,Encontrado en glosario,Sí,No,Sí,Sí,No,"público de empleo correspondiente un certificado de los contratos de duración determinada o temporales celebrados, a los efectos de poder acceso efectivo de este persona rato de trabajo"
persona trabajadora a el acción,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"un certificado de los contratos de duración determinada o temporales celebrados, a los efectos de poder acreditar su condición de persona trabajadora a el acción rato de trabajo"
acción incluido en el sistema,Encontrado en glosario,Sí,No,Sí,Sí,No,"contratos de duración determinada o temporales celebrados, a los efectos de poder acreditar su condición de persona trabajadora fija en acción incluido en el sistema ntrato de trabajo"
formación profesional para el empleo,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,"celebrados, a los efectos de poder acreditar su condición de persona trabajadora fija en la empresa. El Servicio Público de formación profesional para el empleo , a fin de mejorar su cualificación y favorecer su progresión y movilidad profesionales"
supuesto previsto en el apartado,Encontrado en glosario,Sí,No,No,Sí,No,lo pondrá en conocimiento de la empresa en la que la persona trabajadora preste sus servicios y de la Inspección supuesto previsto en el apartado ato de trabajo
día siguiente al  cumplimiento,Encontrado en glosario,Sí,No,Sí,Sí,No,"Seguridad Social, si advirtiera que se han sobrepasado los límites máximos temporales establecidos. día siguiente al  cumplimiento trato de trabajo"
documento justificativo sobre su nuevo,Encontrado en glosario,Sí,No,Sí,Sí,No,temporales establecidos. documento justificativo sobre su nuevo trabajo
representación legal de el trabajador,Encontrado en glosario,Sí,Sí,Sí,Sí,No,representación legal de el trabajador e trabajo
servicio público de  empleo,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,servicio público de  empleo contrato de trabajo
