Término,Patrón N+ADJ,Estado,Noun en Glosario,Adj en Glosario,Contexto
trabajo,N/A,No encontrado,No,No,"
TRABAJO: obra y, en su caso, complementos salariales fijados en función de circunstancias relativas a las condiciones personales del trabajador, al [trabajo] realizado o a la situación y resultados de la empresa, que se calcularán conforme a los criterios que a tal efecto se pacten"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: dichos complementos salariales, no teniendo el carácter de consolidables, salvo acuerdo en contrario, los que estén vinculados al puesto de [trabajo] o a la situación y resultados de la empresa"
contrato,contrato individual,Parcialmente encontrado,Sí,Sí," Mediante la negociación colectiva o, en su defecto, el [contrato] individual, se determinará la estructura del salario, que deberá comprender el salario base, como retribución fijada por unidad de tiempo o de obra y, en su caso, complementos salariales fijados en función de circunstancias relativas a las condiciones personales del trabajador, al trabajo realizado o a la situación y resultados de la empresa, que se calcularán conforme a los criterios que a tal efecto se pacten"
por cuenta ajena,N/A,No encontrado,No,No,"
POR CUENTA AJENA: de las percepciones económicas de los trabajadores, en dinero o en especie, por la prestación profesional de los servicios laborales [por cuenta ajena] , ya retribuyan el trabajo efectivo, cualquiera que sea la forma de remuneración, o los periodos de descanso computables como de trabajo"
pacto,N/A,No encontrado,No,No,"
PACTO: Todas las cargas fiscales y de Seguridad Social a cargo del trabajador serán satisfechas por el mismo, siendo nulo todo [pacto] en contrario"
empresa,N/A,No encontrado,No,No,"
EMPRESA: de circunstancias relativas a las condiciones personales del trabajador, al trabajo realizado o a la situación y resultados de la [empresa] , que se calcularán conforme a los criterios que a tal efecto se pacten"
empresa,N/A,No encontrado,No,No,"
EMPRESA: salvo acuerdo en contrario, los que estén vinculados al puesto de trabajo o a la situación y resultados de la [empresa] "
remuneración,N/A,No encontrado,No,No,"
REMUNERACIÓN: prestación profesional de los servicios laborales por cuenta ajena, ya retribuyan el trabajo efectivo, cualquiera que sea la forma de [remuneración] , o los periodos de descanso computables como de trabajo"
puesto de trabajo,N/A,No encontrado,No,No,"
PUESTO DE TRABAJO: no de dichos complementos salariales, no teniendo el carácter de consolidables, salvo acuerdo en contrario, los que estén vinculados al [puesto de trabajo] o a la situación y resultados de la empresa"
trabajador,N/A,No encontrado,No,No,"
TRABAJADOR: se refiere el artículo 2, el salario en especie podrá superar el treinta por ciento de las percepciones salariales del [trabajador] , ni dar lugar a la minoración de la cuan
tía íntegra en dinero del salario mínimo interprofesional"
trabajador,N/A,No encontrado,No,No," No tendrán la consideración de salario las cantidades perci bidas por el [trabajador] en concepto de indemnizaciones o suplidos por los gastos realizados como consecuencia de su actividad laboral, las prestaciones e indemnizaciones de la Seguridad Social y las indemnizaciones correspondientes a traslados, suspensiones o despidos"
trabajador,N/A,No encontrado,No,No,"
TRABAJADOR: o de obra y, en su caso, complementos salariales fijados en función de circunstancias relativas a las condiciones personales del [trabajador] , al trabajo realizado o a la situación y resultados de la empresa, que se calcularán conforme a los criterios que a tal efecto se pacten"
trabajador,N/A,No encontrado,No,No," Todas las cargas fiscales y de Seguridad Social a cargo del [trabajador] serán satisfechas por el mismo, siendo nulo todo pacto en contrario"
actividad laboral,N/A,No encontrado,No,No,"
ACTIVIDAD LABORAL: cantidades perci bidas por el trabajador en concepto de indemnizaciones o suplidos por los gastos realizados como consecuencia de su [actividad laboral] , las prestaciones e indemnizaciones de la Seguridad Social y las indemnizaciones correspondientes a traslados, suspensiones o despidos"
