Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
ejercicio simultáneo por  razón,Encontrado en glosario,Sí,No,Sí,Sí,No,"los periodos de disfrute previstos en los apartados 4, 5 y 6 serán resueltas por la jurisdicción social a través ejercicio simultáneo por  razón fiestas y permisos"
concreción horario de el reducción,Parcialmente encontrado,No,Sí,Sí,No,No,"a realizar su trabajo total o parcialmente a distancia o a dejar de hacerlo si este fuera el sistema establecido, concreción horario de el reducción estas y permisos"
jurisdicción social a  través,Encontrado en glosario,Sí,No,No,Sí,Sí,"por causa de fuerza mayor cuando sea necesario por motivos familiares urgentes relacionados con familiares o personas convivientes, en caso jurisdicción social a  través l, fiestas y permisos"
procedimiento establecido en el artículo,Encontrado en glosario,Sí,No,Sí,Sí,No,"cuando sea necesario por motivos familiares urgentes relacionados con familiares o personas convivientes, en caso de enfermedad o accidente que procedimiento establecido en el artículo 139 de la Ley 36/2011, de 10 de octubre, Reguladora de la Jurisdicción Social"
disminución proporcional del  salario,Parcialmente encontrado,No,No,Sí,No,No,"las personas trabajadoras aportando las personas trabajadoras, en su caso, acreditación del motivo de ausencia. disminución proporcional del  salario as y permisos"
función desarrollado por el persona,Encontrado en glosario,Sí,No,Sí,Sí,No,función desarrollado por el persona stas y permisos
representante legal de el persona,Encontrado en glosario,Sí,Sí,Sí,Sí,No,representante legal de el persona iestas y permisos
regla establecido en el apartado,Encontrado en glosario,Sí,No,No,Sí,No,regla establecido en el apartado fiestas y permisos
causa previsto en el presente,Parcialmente encontrado,Sí,No,No,No,No,"causa previsto en el presente l, fiestas y permisos"
representación legal de el persona,Encontrado en glosario,Sí,Sí,Sí,Sí,No,representación legal de el persona estas y permisos
