Patrón N+ADJ , Estado , Patrón en Glosario , Noun en Glosario , adj en Glosario , Entrada ADJ en Glosario , adj en Lista Específica , Contexto 
 trabajo igual , parcialmente encontrado , no , Sí , no , no , no , retribución correspondiente al trabajo igual o de igual valor . DERECHO : consiguiente a uno contrato válido . 3 . en caso de nulidad trabajo igual o de igual valor 
 contrato válido , parcialmente encontrado , no , Sí , no , no , No,"un contratar válido . 3 . en caso de nulidad por discriminación salarial por razón de sexo , el trabajador tener [ derecho ] a contrato válido " 
 discriminación salarial , parcialmente encontrado , no , Sí , no , no , sí,"salarial por razón de sexo , el trabajador tener [ derecho ] a el retribución correspondiente al trabajo igual o de igual valor . discriminación salarial por razón de [ sexo ] , el trabajador tener derecho a el retribución correspondiente al trabajo igual o de igual valor " 
 retribución correspondiente , parcialmente encontrado , no , Sí , no , no , no , correspondiente al trabajo igual o de igual valor . trabajo : Artículo 9 . validez del contrato . 1 . si resultar nulo solo uno retribución correspondiente al trabajo igual o de igual valor 
 trabajo igual , parcialmente encontrado , no , Sí , no , no , no , igual o de igual valor . trabajo : Artículo 9 . validez del contrato . 1 . si resultar nulo solo uno parte del contrato trabajo igual o de igual valor 
 precepto jurídico , no encontrado , no , no , no , no , sí,"dispuesto en el artículo 3 . trabajo : de dicho condición o retribución . 2 . en caso de que el contrato resultase nulo , precepto jurídico 9 " 
 remuneración consiguiente , parcialmente encontrado , no , Sí , no , no , No,"discriminación salarial por razón de sexo , el trabajador tener derecho a el retribución correspondiente al [ trabajo ] igual o de igual remuneración consiguiente a uno contrato [ válido ] " 
 contrato válido , parcialmente encontrado , no , Sí , no , no , No,"de sexo , el trabajador tener derecho a el retribución correspondiente al [ trabajo ] igual o de igual valor . trabajo : trabajador tener contrato válido " 
 discriminación salarial , parcialmente encontrado , no , Sí , no , no , Sí,"al [ trabajo ] igual o de igual valor . trabajo : trabajador tener derecho a el retribución correspondiente al trabajo igual o de discriminación salarial por razón de [ sexo ] , el trabajador tener derecho a el retribución correspondiente al trabajo igual o de igual valor " 
 retribución correspondiente , parcialmente encontrado , no , Sí , no , no , no , retribución correspondiente al trabajo igual o de igual valor . Sección 4.ª Modalidades del contrato de [ trabajo ] jurisdicción social : condición o retribución correspondiente al trabajo igual o de igual valor 
 retribución correspondiente , parcialmente encontrado , no , Sí , no , no , no,"jurisdicción SOCIAL : condición o retribución especial en virtud de contraprestación establecido en el parte no válido del contrato , el órgano retribución correspondiente al trabajo igual o de igual valor " 
 trabajo igual , parcialmente encontrado , no , Sí , no , no , no,"o retribución especial en virtud de contraprestación establecido en el parte no válido del contrato , el órgano de el [ jurisdicción trabajo igual o de igual valor " 
 jurisdicción social , Encontrado en glosario , Sí , Sí , no , no , Sí,"del contrato , el órgano de el [ jurisdicción social ] que a instancia de parte declarar el nulidad hacer el debido pronunciamiento jurisdicción social : condición o retribución especial en virtud de contraprestación establecido en el parte no válido del contrato , el órgano de el [ jurisdicción social ] que a instancia de parte declarar el nulidad hacer el debido pronunciamiento sobre el subsistencia o supresión en todo o en parte de dicho condición o retribución " 
 retribución especial , parcialmente encontrado , no , Sí , no , no , Sí , el [ jurisdicción social ] que a instancia de parte declarar el nulidad hacer el debido pronunciamiento sobre el subsistencia o supresión retribución especial Validez del contrato 
 contraprestación establecido , no encontrado , no , no , no , no , no , instancia de parte declarar el nulidad hacer el debido pronunciamiento sobre el subsistencia o supresión en todo o en parte contraprestación establecido del contrato 
 jurisdicción social , Encontrado en glosario , Sí , Sí , no , no , Sí,"supresión en todo o en parte de dicho condición o retribución . jurisdicción : condición o retribución especial en virtud de contraprestación jurisdicción social : condición o retribución especial en virtud de contraprestación establecido en el parte no válido del contrato , el órgano de el [ jurisdicción social ] que a instancia de parte declarar el nulidad hacer el debido pronunciamiento sobre el subsistencia o supresión en todo o en parte de dicho condición o retribución " 
 retribución especial , parcialmente encontrado , no , Sí , no , no , Sí , social que a instancia de parte declarar el nulidad hacer el debido pronunciamiento sobre el subsistencia o supresión en todo retribución especial Validez del contrato 
 contraprestación establecido , no encontrado , no , no , no , no , no , parte declarar el nulidad hacer el debido pronunciamiento sobre el subsistencia o supresión en todo o en parte de dicho contraprestación establecido del contrato 
 precepto jurídico , no encontrado , no , no , no , no , Sí,"en el parte no válido del [ contrato ] , el órgano de el jurisdicción social que a instancia de parte declarar precepto jurídico 9 " 
 retribución especial , parcialmente encontrado , no , Sí , no , no , Sí , nulidad hacer el debido pronunciamiento sobre el subsistencia o supresión en todo o en parte de dicho condición o retribución . retribución especial Validez del contrato 
 contraprestación establecido , no encontrado , no , no , no , no , no , sobre el subsistencia o supresión en todo o en parte de dicho condición o retribución . contrato : el subsistencia o supresión contraprestación establecido del contrato 
 jurisdicción social , Encontrado en glosario , Sí , Sí , no , no , Sí,"o retribución . contrato : el subsistencia o supresión en todo o en parte de dicho condición o retribución . 2 . en caso jurisdicción social : condición o retribución especial en virtud de contraprestación establecido en el parte no válido del contrato , el órgano de el [ jurisdicción social ] que a instancia de parte declarar el nulidad hacer el debido pronunciamiento sobre el subsistencia o supresión en todo o en parte de dicho condición o retribución " 
 resultase nulo , no encontrado , no , no , no , no , No,"el trabajo que ya haber prestar , el remuneración consiguiente a uno [ contrato ] válido . contrato : sexo , el trabajador tener derecho a resultase nulo , el trabajador poder exigir , por el trabajo que ya haber prestar , el remuneración consiguiente a uno contrato [ válido ] " 
 remuneración consiguiente , parcialmente encontrado , no , Sí , no , no , no , tener derecho a el retribución correspondiente al trabajo igual o de igual valor . Sección 4.ª Modalidades del [ contrato ] de trabajo remuneración consiguiente a uno contrato [ válido ] 
 contrato válido , parcialmente encontrado , no , Sí , no , no , no , retribución correspondiente al trabajo igual o de igual valor . Sección 4.ª Modalidades del [ contrato ] de trabajo órgano : trabajador tener asignado contrato válido 
 remuneración consiguiente , parcialmente encontrado , no , Sí , no , no , No,"en virtud de contraprestación establecido en el parte no válido del contrato , el [ órgano ]ir de el jurisdicción social que a remuneración consiguiente a uno contrato [ válido ] " 
 retribución correspondiente , parcialmente encontrado , no , Sí , no , no , no , jurisdicción social que a instancia de parte declarar el nulidad hacer el debido pronunciamiento sobre el subsistencia o supresión en retribución correspondiente al trabajo igual o de igual valor 
 trabajo igual , parcialmente encontrado , no , Sí , no , no , no , a instancia de parte declarar el nulidad hacer el debido pronunciamiento sobre el subsistencia o supresión en todo o en trabajo igual o de igual valor 
 retribución especial , parcialmente encontrado , no , Sí , no , no , Sí,"parte de dicho condición o retribución . remuneración : En caso de que el contrato resultase nulo , el trabajador poder exigir , por retribución especial Validez del contrato " 
 contraprestación establecido , no encontrado , no , no , no , no , No,"retribuciones . remuneración : En caso de que el contrato resultase nulo , el trabajador poder exigir , por el trabajo que ya haber contraprestación establecido del contrato " 
 jurisdicción social , Encontrado en glosario , Sí , Sí , no , no , sí,"exigir , por el trabajo que ya haber prestar , el [ remuneración ] consiguiente a uno contrato válido . contrato DE trabajo : Artículo 9 . jurisdicción social : condición o retribución especial en virtud de contraprestación establecido en el parte no válido del contrato , el órgano de el [ jurisdicción social ] que a instancia de parte declarar el nulidad hacer el debido pronunciamiento sobre el subsistencia o supresión en todo o en parte de dicho condición o retribución " 
 contrato válido , parcialmente encontrado , no , Sí , no , no , no,"contrato DE trabajo : sexo , el trabajador tener derecho a el retribución correspondiente al trabajo igual o de igual valor . Sección contrato válido " 
 precepto jurídico , no encontrado , no , no , no , no , Sí , el nulidad hacer el debido pronunciamiento sobre el subsistencia o [ supresión ] en todo o en parte de dicho condición o precepto jurídico 9 
 retribución correspondiente , parcialmente encontrado , no , Sí , no , no , No,"contrato , el órgano de el jurisdicción social que a instancia de parte declarar el nulidad hacer el debido [ pronunciamiento ] sobre retribución correspondiente al trabajo igual o de igual valor " 
 trabajo igual , parcialmente encontrado , no , Sí , no , no , no , de el jurisdicción social que a instancia de parte declarar el nulidad hacer el debido [ pronunciamiento ] sobre el subsistencia o trabajo igual o de igual valor 
 jurisdicción social , Encontrado en glosario , Sí , Sí , no , no , sí,"[pronunciamiento ] sobre el subsistencia o supresión en todo o en parte de dicho condición o retribución . trabajador : restante , y él jurisdicción social : condición o retribución especial en virtud de contraprestación establecido en el parte no válido del contrato , el órgano de el [ jurisdicción social ] que a instancia de parte declarar el nulidad hacer el debido pronunciamiento sobre el subsistencia o supresión en todo o en parte de dicho condición o retribución " 
 jurisdicción social , Encontrado en glosario , Sí , Sí , no , no , sí,"asignada condición o retribución especial en virtud de contraprestación establecido en el parte no válido del contrato , el órgano de jurisdicción social : condición o retribución especial en virtud de contraprestación establecido en el parte no válido del contrato , el órgano de el [ jurisdicción social ] que a instancia de parte declarar el nulidad hacer el debido pronunciamiento sobre el subsistencia o supresión en todo o en parte de dicho condición o retribución " 
 precepto jurídico , no encontrado , no , no , no , no , Sí , supresión en todo o en parte de dicho condición o retribución . trabajador : en todo o en parte de dicho condición precepto jurídico 9 
 tener asignado , no encontrado , no , no , no , no , no,"o en parte de dicho condición o retribución . 2 . en caso de que el contrato resultase nulo , el [ trabajador ] poder tener asignado ulo 9 " 
 retribución especial , parcialmente encontrado , no , Sí , no , no , sí,"dicha condición o retribución . 2 . en caso de que el contrato resultase nulo , el [ trabajador ] poder exigir , por el trabajo retribución especial Validez del contrato " 
 contraprestación establecido , no encontrado , no , no , no , no , no,"en caso de que el contrato resultase nulo , el [ trabajador ] poder exigir , por el trabajo que ya haber prestar , el contraprestación establecido del contrato " 
 jurisdicción social , Encontrado en glosario , Sí , Sí , no , no , Sí,"trabajo que ya haber prestar , el remuneración consiguiente a uno contrato válido . trabajador : el remuneración consiguiente a uno contrato válido . jurisdicción social : condición o retribución especial en virtud de contraprestación establecido en el parte no válido del contrato , el órgano de el [ jurisdicción social ] que a instancia de parte declarar el nulidad hacer el debido pronunciamiento sobre el subsistencia o supresión en todo o en parte de dicho condición o retribución " 
 remuneración consiguiente , parcialmente encontrado , no , Sí , no , no , no , remuneración consiguiente a uno contrato [ válido ] 
 contrato válido , parcialmente encontrado , no , Sí , no , no , no , contrato válido 
 remuneración consiguiente , parcialmente encontrado , no , Sí , no , no , no , remuneración consiguiente a uno contrato [ válido ] 
 contrato válido , parcialmente encontrado , no , Sí , no , no , no , contrato válido 
 discriminación salarial , parcialmente encontrado , no , Sí , no , no , sí,"discriminación salarial por razón de [ sexo ] , el trabajador tener derecho a el retribución correspondiente al trabajo igual o de igual valor " 
 retribución correspondiente , parcialmente encontrado , no , Sí , no , no , no , retribución correspondiente al trabajo igual o de igual valor 
 trabajo igual , parcialmente encontrado , no , Sí , no , no , no , trabajo igual o de igual valor
